Time,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
0,-1.688383645,-1.579923945,-0.929235685,-1.736910495,-1.116623368,-1.306330204,0.409349328,1.80828778,0.570951914,0.436695837,-0.322952452,0.867657635,1.477398131,0.832500865
1.50E-04,-1.692273403,-1.571058824,-0.925705065,-1.72455873,-1.11893066,-1.331113538,0.403384703,1.709895325,0.540233431,0.436371734,-0.355250002,0.80009309,1.434256846,0.796954526
3.00E-04,-1.684385214,-1.558329773,-0.92179201,-1.707821329,-1.113598586,-1.351000986,0.400801492,1.611088668,0.509455049,0.436059662,-0.387066468,0.732261468,1.387943452,0.76149153
4.50E-04,-1.664832278,-1.541900663,-0.917550547,-1.686925476,-1.100701559,-1.365730335,0.401633489,1.513125169,0.479025704,0.435747951,-0.417977495,0.665031751,1.339065026,0.726550924
6.00E-04,-1.633880921,-1.521996883,-0.913038801,-1.662154256,-1.080426333,-1.37513433,0.405864087,1.417256125,0.449333777,0.435443322,-0.447597919,0.599254856,1.288251641,0.692575646
7.50E-04,-1.591939728,-1.498883253,-0.908309626,-1.633824036,-1.053050009,-1.379121521,0.413423912,1.324692944,0.420738333,0.435157327,-0.475574869,0.535743463,1.236132819,0.659993496
9.00E-04,-1.539554034,-1.472853312,-0.903426248,-1.602300495,-1.01892885,-1.377644459,0.424217034,1.236609113,0.393613583,0.434884379,-0.501545793,0.475300658,1.18337889,0.62920529
0.00105,-1.477398757,-1.44424397,-0.898453417,-1.567989047,-0.978504927,-1.370735037,0.438102572,1.154124756,0.368306935,0.434627825,-0.525185816,0.418685296,1.130662145,0.60059432
0.0012,-1.406270023,-1.413417867,-0.893447824,-1.531313243,-0.932296172,-1.35849808,0.454893414,1.078278076,0.345124224,0.434397082,-0.546214378,0.366592669,1.07863026,0.574516359
0.00135,-1.327078107,-1.380763757,-0.888475749,-1.492737127,-0.88088908,-1.341093938,0.474378018,1.010027347,0.324366961,0.434189153,-0.564361871,0.319676965,1.027946777,0.551291434
0.0015,-1.240828779,-1.346689276,-0.883600435,-1.452741756,-0.824930415,-1.318746335,0.496308965,0.950235447,0.306299772,0.434005264,-0.579400893,0.278524185,0.97925068,0.531205327
0.00165,-1.148618305,-1.311617683,-0.87887811,-1.411814756,-0.765123878,-1.291746721,0.520404005,0.899653075,0.291139784,0.433853388,-0.591155297,0.243640009,0.93314093,0.514509012
0.0018,-1.051616417,-1.275985785,-0.874369747,-1.370465749,-0.702215152,-1.260433682,0.546360938,0.85891519,0.279083351,0.433731273,-0.599473457,0.215462381,0.890201441,0.501408339
0.00195,-0.951050615,-1.240231953,-0.870131781,-1.329203988,-0.636988795,-1.225198717,0.573854122,0.82853645,0.270285059,0.43363906,-0.604249036,0.194345943,0.85097353,0.49206565
0.0021,-0.848194435,-1.204797735,-0.866211998,-1.288531474,-0.57025795,-1.186487344,0.602532621,0.808897247,0.264846499,0.433582851,-0.605430912,0.180552197,0.815940419,0.486602621
0.00225,-0.744348254,-1.170122985,-0.86266183,-1.248954532,-0.502853683,-1.144781685,0.632039014,0.800243639,0.262841943,0.4335597,-0.602999569,0.174260725,0.785551282,0.485088876
0.0024,-0.640822462,-1.13663547,-0.85952445,-1.210959047,-0.435615006,-1.100599608,0.662002692,0.80268734,0.264296892,0.433570474,-0.596984626,0.175555812,0.760189645,0.487549006
0.00255,-0.538926534,-1.104751078,-0.856835391,-1.175010528,-0.369382801,-1.054495912,0.692043648,0.816196236,0.269186581,0.433618804,-0.587467195,0.184426638,0.740172806,0.493961273
0.0027,-0.439934914,-1.074865789,-0.854636501,-1.141568539,-0.304985081,-1.007035735,0.721791227,0.840626661,0.277481932,0.43369041,-0.574540274,0.200783502,0.725782221,0.50424077
0.00285,-0.345129799,-1.047364153,-0.852943765,-1.111034014,-0.243238593,-0.958837233,0.750855935,0.87565245,0.289035845,0.433812875,-0.55840704,0.224416662,0.717172501,0.51829266
0.003,-0.255707267,-1.022586622,-0.851785017,-1.0838,-0.184916946,-0.910486027,0.778878192,0.920826672,0.303723421,0.433963291,-0.539243781,0.255044353,0.714480357,0.535932291
0.00315,-0.172804627,-1.000851924,-0.851179012,-1.060216352,-0.130758614,-0.862590624,0.805506164,0.975588906,0.321361543,0.434142208,-0.517291826,0.29229397,0.717753376,0.556949711
0.0033,-0.097477868,-0.982444111,-0.851126733,-1.040575656,-0.081460924,-0.815769258,0.830387836,1.039245636,0.341709166,0.434361871,-0.49284723,0.335703595,0.726945676,0.581104366
0.00345,-0.0306851,-0.967598766,-0.851636036,-1.02514112,-0.037655097,-0.770604676,0.853211324,1.110993079,0.364525108,0.434604861,-0.466201175,0.384737535,0.741966159,0.608087334
0.0036,0.026721349,-0.956514925,-0.852704383,-1.014119408,9.18E-05,-0.727673517,0.873684192,1.189935629,0.389525526,0.434869961,-0.437689713,0.438787481,0.762639593,0.637567483
0.00375,0.074000898,-0.949348482,-0.854312984,-1.007653519,0.031279896,-0.687535526,0.891530983,1.275076635,0.416384063,0.43516227,-0.407684916,0.497176524,0.788706341,0.669186571
0.0039,0.110540582,-0.946202794,-0.856449954,-1.005845897,0.055496916,-0.650704384,0.906524221,1.365340227,0.444774253,0.435468678,-0.376556274,0.559171647,0.819856852,0.702538772
0.00405,0.135859786,-0.947130826,-0.859090409,-1.008733379,0.072412638,-0.617659507,0.918463848,1.459589002,0.474340164,0.435785076,-0.344696544,0.623989474,0.855705701,0.737201149
0.0042,0.14961523,-0.952141418,-0.862197838,-1.016288584,0.08178302,-0.588845694,0.927180355,1.556628776,0.504698991,0.436115,-0.312520653,0.690806777,0.895798854,0.772740338
0.00435,0.151616214,-0.961183257,-0.865739046,-1.028432806,0.08347234,-0.564639264,0.932561038,1.655224645,0.535475428,0.436445661,-0.28042867,0.758769863,0.939638222,0.808691183
0.0045,0.141821254,-0.974154742,-0.869670558,-1.045022939,0.077436335,-0.545367296,0.934527305,1.754124367,0.566278403,0.436774532,-0.248830789,0.827008233,0.986668069,0.844590402
0.00465,0.120339421,-0.990906029,-0.873939704,-1.065855034,0.063724824,-0.531301645,0.933037427,1.852062292,0.596708453,0.43710206,-0.218137644,0.894642059,1.036284812,0.879976489
0.0048,0.087433237,-1.011228988,-0.878494337,-1.090671597,0.042498763,-0.522634464,0.9281054,1.947782111,0.626381757,0.437417582,-0.188735959,0.960795175,1.087854971,0.9143795
0.00495,0.043510446,-1.034872892,-0.883277222,-1.119160727,0.014015495,-0.519495677,0.919787555,2.040056761,0.654917635,0.437718154,-0.161003844,1.02460943,1.140714944,0.947349404
0.0051,-0.01088098,-1.061544242,-0.888224959,-1.150958966,-0.021375998,-0.521948287,0.908179006,2.127696598,0.681943211,0.438003668,-0.135304022,1.085253014,1.194177995,0.978455554
0.00525,-0.075056921,-1.090898063,-0.893273294,-1.185655538,-0.063226771,-0.52997024,0.893423937,2.20956871,0.70711069,0.438265143,-0.111964006,1.141930408,1.247548625,1.007279535
0.0054,-0.148166626,-1.122553668,-0.898360197,-1.222802838,-0.110996893,-0.543464822,0.875713671,2.284626059,0.73010615,0.43849601,-0.091276588,1.193902887,1.300137105,1.03343642
