Time,Subsystem #1|CTLs|Vars|G1POUT,Subsystem #1|CTLs|Vars|G1QOUT,Subsystem #1|CTLs|Vars|PCAP1,Subsystem #1|CTLs|Vars|PI1,Subsystem #1|CTLs|Vars|PI2,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI4,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI6,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|PLOAD1,Subsystem #1|CTLs|Vars|PLOAD2,Subsystem #1|CTLs|Vars|PLOAD3,Subsystem #1|CTLs|Vars|PLOAD4,Subsystem #1|CTLs|Vars|QCAP1,Subsystem #1|CTLs|Vars|QI1,Subsystem #1|CTLs|Vars|QI2,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI4,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI6,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|QLOAD1,Subsystem #1|CTLs|Vars|QLOAD2,Subsystem #1|CTLs|Vars|QLOAD3,Subsystem #1|CTLs|Vars|QLOAD4,Subsystem #1|CTLs|Vars|Qmeas8,Subsystem #1|Machines|M1|PMACH1,Subsystem #1|Machines|M1|QMACH1
0,1.967542457,-0.56201238,0,-1.343481252,-0.980541638,0.810877957,-0.8924461,0.969542508,-1.093000005,2.056514567,1.343481252,0.980541638,0.873908997,0.8924461,0,-0.650615783,-0.322235012,0.421446352,-0.432189294,-0.88901237,-0.358999992,1.388895618,0.650615783,0.322235012,0.423212243,0.432189294,0.001765891,3.05309924,1.717204053
1.50E-04,1.966809089,-0.566155746,0,-1.343481252,-0.980541638,0.811024788,-0.8924461,0.968809135,-1.093000009,2.053642355,1.343481252,0.980541638,0.873908997,0.8924461,0,-0.650615783,-0.322235012,0.422154189,-0.432189294,-0.893155738,-0.358999994,1.38940726,0.650615783,0.322235012,0.423212243,0.432189294,0.001058054,3.050149715,1.717505083
3.00E-04,1.966214065,-0.570438235,0,-1.343481252,-0.980541638,0.811096955,-0.8924461,0.968214107,-1.093000013,2.050625111,1.343481252,0.980541638,0.873908997,0.8924461,0,-0.650615783,-0.322235012,0.422875382,-0.432189294,-0.897438228,-0.358999995,1.389497069,0.650615783,0.322235012,0.423212243,0.432189294,3.37E-04,3.047074527,1.717383684
4.50E-04,1.965765148,-0.57480362,0,-1.343481252,-0.980541638,0.811093658,-0.8924461,0.967765185,-1.093000018,2.04750195,1.343481252,0.980541638,0.873908997,0.8924461,0,-0.650615783,-0.322235012,0.423600672,-0.432189294,-0.901803615,-0.358999996,1.389165119,0.650615783,0.322235012,0.423212243,0.432189294,-3.88E-04,3.043913445,1.716842547
6.00E-04,1.965468237,-0.579194646,0,-1.343481252,-0.980541638,0.811015076,-0.8924461,0.96746827,-1.093000022,2.044313178,1.343481252,0.980541638,0.873908997,0.8924461,0,-0.650615783,-0.322235012,0.424320765,-0.432189294,-0.906194642,-0.358999998,1.388416806,0.650615783,0.322235012,0.423212243,0.432189294,-0.001108522,3.040707219,1.715889669
7.50E-04,1.965327206,-0.583553916,0,-1.343481252,-0.980541638,0.810862365,-0.8924461,0.967327233,-1.093000027,2.041099813,1.343481252,0.980541638,0.873908996,0.8924461,0,-0.650615783,-0.322235012,0.425026455,-0.432189294,-0.910553913,-0.358999999,1.38726267,0.650615783,0.322235012,0.423212243,0.432189294,-0.001814212,3.037497021,1.714538171
9.00E-04,1.96534398,-0.587824626,0,-1.343481252,-0.980541637,0.810637633,-0.8924461,0.967344003,-1.093000031,2.037903095,1.343481252,0.980541637,0.873908996,0.8924461,0,-0.650615783,-0.322235012,0.425708749,-0.432189294,-0.914824626,-0.359000001,1.385718313,0.650615783,0.322235012,0.423212243,0.432189294,-0.002496506,3.034323981,1.712806068
0.00105,1.965518515,-0.591951214,0,-1.343481252,-0.980541637,0.810343904,-0.8924461,0.967518532,-1.093000036,2.034763921,1.343481252,0.980541637,0.873908996,0.8924461,0,-0.650615783,-0.322235012,0.426358986,-0.432189294,-0.918951215,-0.359000002,1.38380415,0.650615783,0.322235012,0.423212243,0.432189294,-0.003146744,3.031228681,1.710716063
0.0012,1.965848772,-0.595880196,0,-1.343481252,-0.980541637,0.809985068,-0.8924461,0.967848785,-1.09300004,2.031722395,1.343481252,0.980541637,0.873908996,0.8924461,0,-0.650615783,-0.322235012,0.426968958,-0.432189294,-0.922880199,-0.359000004,1.381545104,0.650615783,0.322235012,0.423212243,0.432189294,-0.003756715,3.028250621,1.708295256
0.00135,1.966330793,-0.599560781,0,-1.343481252,-0.980541637,0.809565824,-0.8924461,0.968330801,-1.093000045,2.028817332,1.343481252,0.980541637,0.873908996,0.8924461,0,-0.650615783,-0.322235012,0.427531008,-0.432189294,-0.926560785,-0.359000005,1.378970323,0.650615783,0.322235012,0.423212243,0.432189294,-0.004318765,3.025427793,1.705574765
0.0015,1.966958765,-0.602945448,0,-1.343481252,-0.980541637,0.809091608,-0.892446099,0.968958768,-1.093000049,2.026085777,1.343481252,0.980541637,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.428038127,-0.432189294,-0.929945454,-0.359000007,1.376112826,0.650615783,0.322235011,0.423212243,0.432189294,-0.004825884,3.022796202,1.702589367
0.00165,1.967725059,-0.605990593,0,-1.343481252,-0.980541637,0.808568524,-0.892446099,0.969725057,-1.093000053,2.023562568,1.343481252,0.980541637,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.428484035,-0.432189294,-0.932990601,-0.359000008,1.373009062,0.650615783,0.322235011,0.423212243,0.432189294,-0.005271793,3.020389417,1.699377098
0.0018,1.968620353,-0.60865703,0,-1.343481252,-0.980541637,0.80800326,-0.892446099,0.970620346,-1.093000056,2.021279927,1.343481252,0.980541637,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.428863245,-0.432189293,-0.935657039,-0.359000009,1.369698501,0.650615783,0.322235011,0.423212243,0.432189293,-0.005651002,3.018238192,1.695978766
0.00195,1.96963373,-0.61091037,0,-1.343481252,-0.980541637,0.807403005,-0.892446099,0.971633719,-1.09300006,2.019267042,1.343481252,0.980541637,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.429171114,-0.432189293,-0.937910381,-0.35900001,1.366223184,0.650615783,0.322235011,0.423212242,0.432189293,-0.005958871,3.016370087,1.692437478
0.0021,1.97075282,-0.612721528,0,-1.343481252,-0.980541637,0.806775364,-0.892446099,0.972752806,-1.093000063,2.017549742,1.343481252,0.980541637,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.429403892,-0.432189293,-0.939721539,-0.359000011,1.362627187,0.650615783,0.322235011,0.423212242,0.432189293,-0.006191649,3.014809113,1.688798173
0.00225,1.971963925,-0.614067001,0,-1.343481252,-0.980541637,0.806128264,-0.892446099,0.973963907,-1.093000066,2.016150172,1.343481252,0.980541637,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.429558751,-0.432189293,-0.941067014,-0.359000012,1.35895613,0.650615783,0.322235011,0.423212242,0.432189293,-0.006346509,3.013575464,1.685107038
0.0024,1.973252189,-0.614929076,0,-1.343481252,-0.980541637,0.805469861,-0.892446099,0.975252167,-1.093000068,2.015086497,1.343481252,0.980541637,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.42963381,-0.432189293,-0.94192909,-0.359000013,1.355256665,0.650615783,0.322235011,0.423212242,0.432189293,-0.006421568,3.012685243,1.681411009
0.00255,1.974601758,-0.615296117,0,-1.343481252,-0.980541637,0.804808446,-0.892446099,0.976601732,-1.093000071,2.014372703,1.343481252,0.980541637,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.429628151,-0.432189293,-0.942296132,-0.359000014,1.351575879,0.650615783,0.322235011,0.423212242,0.432189293,-0.006415909,3.012150261,1.677757195
0.0027,1.975995858,-0.615162808,0,-1.343481252,-0.980541637,0.804152342,-0.892446099,0.977995829,-1.093000073,2.014018407,1.343481252,0.980541637,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.429541838,-0.432189293,-0.942162825,-0.359000015,1.347960671,0.650615783,0.322235011,0.423212242,0.432189293,-0.006329595,3.011977887,1.674192186
0.00285,1.977417211,-0.614529801,0,-1.343481252,-0.980541637,0.803509801,-0.892446099,0.979417178,-1.093000075,2.01402867,1.343481252,0.980541637,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.429375934,-0.432189293,-0.941529818,-0.359000015,1.344457394,0.650615783,0.322235011,0.423212242,0.432189293,-0.006163692,3.012170909,1.67076189
0.003,1.978847995,-0.613404017,0,-1.343481252,-0.980541636,0.802888912,-0.892446099,0.980847959,-1.093000077,2.014404006,1.343481252,0.980541636,0.873908996,0.892446099,0,-0.650615783,-0.322235011,0.42913245,-0.432189293,-0.940404035,-0.359000016,1.341111125,0.650615783,0.322235011,0.423212242,0.432189293,-0.005920207,3.012727491,1.667510539
