"Time","Subsystem #1|CTLs|Vars|VMrms1","Subsystem #1|CTLs|Vars|VSrms1","Subsystem #1|CTLs|Vars|Vrms1","Subsystem #1|CTLs|Vars|Vrms10","Subsystem #1|CTLs|Vars|Vrms13","Subsystem #1|CTLs|Vars|Vrms16","Subsystem #1|CTLs|Vars|Vrms19","Subsystem #1|CTLs|Vars|Vrms4","Subsystem #1|CTLs|Vars|Vrms7"
0.0,7.584604501,79.6777356,7.584140471,7.51523441,7.547371809,7.552605389,7.574853765,7.545484213,7.555650255
1.5E-4,7.58290378,79.67719703,7.582819702,7.509415338,7.542029708,7.546597254,7.568685794,7.539655765,7.549638074
3.0E-4,7.580953031,79.67653826,7.581217512,7.501530313,7.534234313,7.538348184,7.560393104,7.531813417,7.541555219
4.5E-4,7.578776564,79.67574844,7.57935375,7.491680223,7.524086098,7.527963835,7.550080045,7.522057438,7.531503864
6.0E-4,7.576401385,79.6748166,7.57725142,7.480003935,7.511727196,7.515589598,7.537891336,7.510525083,7.519625056
7.5E-4,7.573851838,79.67373593,7.574931405,7.46663899,7.497307624,7.501373217,7.523973404,7.497353108,7.506060685
9.0E-4,7.571160274,79.6725094,7.572423149,7.451765072,7.481014924,7.485501043,7.508509712,7.482715663,7.490991745
0.00105,7.568355024,79.67104219,7.569752511,7.435575269,7.463060017,7.468178135,7.491697953,7.466800773,7.474610134
0.0012,7.565482563,79.66947861,7.566964619,7.418255054,7.443653802,7.449608305,7.473736605,7.449794956,7.457107619
0.00135,7.562580902,79.66778009,7.564096222,7.400045566,7.423058728,7.43004467,7.454873476,7.431933906,7.438726204
0.0015,7.559694095,79.66606145,7.561191035,7.381178518,7.401533722,7.409733573,7.43534493,7.413442916,7.419697529
0.00165,7.556859298,79.66439526,7.558286441,7.361878899,7.379333054,7.388917003,7.415383083,7.394541995,7.400248414
0.0018,7.554116436,79.66283422,7.555423248,7.342405807,7.356750499,7.367873057,7.39525679,7.375486951,7.380639717
0.00195,7.551499774,79.66141072,7.552637266,7.322998077,7.334067384,7.346860401,7.375215059,7.35651057,7.361114667
0.0021,7.549041499,79.66014314,7.549962834,7.30389152,7.311561066,7.326138049,7.35550268,7.33784785,7.341911589
0.00225,7.546775011,79.6590404,7.547436093,7.285335484,7.289522379,7.305974995,7.336376441,7.319741458,7.323280983
0.0024,7.544727468,79.65810622,7.545087526,7.267553763,7.268218656,7.286614631,7.318067598,7.302410908,7.305447816
0.00255,7.542913888,79.65723028,7.542935984,7.250769996,7.247918455,7.268301244,7.30080698,7.286071701,7.288636625
0.0027,7.541367452,79.65655539,7.541018947,7.235200084,7.228883996,7.251272712,7.284818287,7.270938061,7.273065294
0.00285,7.540100648,79.65604672,7.539353632,7.221031013,7.211345781,7.235732227,7.27029269,7.257188754,7.258919081
0.003,7.539128776,79.65569543,7.537960418,7.20845286,7.195536291,7.221886968,7.257422711,7.245007421,7.246386856
0.00315,7.538461656,79.65548871,7.536854491,7.197628455,7.181655072,7.209911937,7.246371857,7.23454711,7.2356269
0.0033,7.538105494,79.65541082,7.536047657,7.18869008,7.169875836,7.199956076,7.237275733,7.225936865,7.226771253
0.00345,7.538065459,79.65544542,7.535550832,7.181755849,7.160359972,7.192154466,7.230257257,7.219290887,7.219939026
0.0036,7.538341525,79.65557848,7.535369815,7.176918889,7.153231502,7.186611666,7.2254099,7.214699016,7.215221559
0.00375,7.538928954,79.65580212,7.535505697,7.174237157,7.148585313,7.183399159,7.222794216,7.212218897,7.212677327
0.0039,7.539807984,79.655986,7.535944386,7.173749979,7.146486768,7.182561982,7.222448498,7.21188621,7.212342898
0.00405,7.540975966,79.65625237,7.536689024,7.175480031,7.146981951,7.184130327,7.224394962,7.213721577,7.214240748
0.0042,7.542418807,79.65661084,7.537730878,7.179392482,7.150056596,7.188073852,7.228595893,7.21769023,7.218333827
0.00435,7.544126195,79.65711359,7.539064763,7.18545441,7.155687304,7.194358366,7.235016364,7.223757739,7.224587421
0.0045,7.546082389,79.65779268,7.540679714,7.193600448,7.163812184,7.202912612,7.243583387,7.231855474,7.232931513
0.00465,7.548266173,79.65866136,7.54255885,7.20372606,7.174325354,7.21362622,7.254185051,7.241880724,7.24325811
0.0048,7.550650738,79.65971581,7.544679243,7.215710147,7.187098436,7.226367844,7.26669548,7.253710136,7.25544331
0.00495,7.553204489,79.66094021,7.547012677,7.229395557,7.201966944,7.240972298,7.280950551,7.267191751,7.269328674
0.0051,7.555894823,79.66231239,7.549529357,7.244617318,7.218745941,7.257259436,7.296777054,7.282159569,7.284745467
0.00525,7.558679555,79.66372684,7.552189332,7.261172071,7.237213365,7.275013536,7.313965831,7.298417127,7.301488827
0.0054,7.561528534,79.66523015,7.554964069,7.278840672,7.257127036,7.294001692,7.332291218,7.315751265,7.319339561
0.00555,7.564408646,79.66680055,7.557821409,7.297398547,7.27823378,7.313981866,7.351520167,7.333941203,7.338071183
0.0057,7.56728401,79.66840156,7.560725769,7.316609207,7.300262706,7.334701124,7.371408632,7.352757595,7.35744523
0.00585,7.570113608,79.66999742,7.563635771,7.336205014,7.322911981,7.355872216,7.391681161,7.371939475,7.377193206
0.006,7.572861018,79.67155164,7.566513967,7.355943629,7.345893321,7.377227946,7.412082932,7.39124465,7.397067069
0.00615,7.57548767,79.6730269,7.569320116,7.375570507,7.368907617,7.398491514,7.432349884,7.41042496,7.416810095
0.0063,7.577954741,79.67438955,7.572013118,7.394819126,7.391643001,7.419375241,7.452205777,7.42921744,7.436151824
0.00645,7.580229554,79.67561304,7.574557417,7.413447962,7.413812842,7.43961602,7.471401791,7.447388434,7.454850529
0.0066,7.582275145,79.67658301,7.576912448,7.431211765,7.435121775,7.458945434,7.48968302,7.464694926,7.47265809
0.00675,7.584075114,79.67739006,7.579058206,7.447875536,7.45528876,7.477108267,7.506808527,7.480910447,7.48934104
0.0069,7.585603148,79.67796944,7.580963753,7.463227796,7.474061808,7.493878152,7.522561979,7.495830062,7.504688051
0.00705,7.586845707,79.67839416,7.582610801,7.477081417,7.4912118,7.509051443,7.536754808,7.509274875,7.518514139
0.0072,7.587785811,79.67870304,7.58397717,7.48923449,7.506500585,7.522414987,7.549182906,7.521051793,7.530620472
0.00735,7.588416056,79.67892196,7.585049986,7.499562466,7.519762321,7.533825885,7.559718019,7.531038609,7.54088186
0.0075,7.588725085,79.67906063,7.585812228,7.507921917,7.530814772,7.543125097,7.568211183,7.539093647,7.549153224
0.00765,7.588709443,79.67912067,7.58625462,7.514208066,7.539521523,7.550198367,7.57455658,7.545116727,7.555333431
