"Time","Subsystem #1|Node Voltages|S1) M1","Subsystem #1|Node Voltages|S1) M2","Subsystem #1|Node Voltages|S1) M3","Subsystem #1|Node Voltages|S1) N1","Subsystem #1|Node Voltages|S1) N10","Subsystem #1|Node Voltages|S1) N11","Subsystem #1|Node Voltages|S1) N12","Subsystem #1|Node Voltages|S1) N13","Subsystem #1|Node Voltages|S1) N14","Subsystem #1|Node Voltages|S1) N15","Subsystem #1|Node Voltages|S1) N16","Subsystem #1|Node Voltages|S1) N17","Subsystem #1|Node Voltages|S1) N18","Subsystem #1|Node Voltages|S1) N19","Subsystem #1|Node Voltages|S1) N2","Subsystem #1|Node Voltages|S1) N20","Subsystem #1|Node Voltages|S1) N21","Subsystem #1|Node Voltages|S1) N3","Subsystem #1|Node Voltages|S1) N4","Subsystem #1|Node Voltages|S1) N5","Subsystem #1|Node Voltages|S1) N6","Subsystem #1|Node Voltages|S1) N7","Subsystem #1|Node Voltages|S1) N8","Subsystem #1|Node Voltages|S1) N9","Subsystem #1|Node Voltages|S1) S1","Subsystem #1|Node Voltages|S1) S2","Subsystem #1|Node Voltages|S1) S3"
0.0,7.994179969,2.14112285,-10.1518807,7.985919372,7.615234923,2.10457417,-10.08409481,7.509791601,2.141738477,-10.20392933,7.572765299,2.095415219,-10.18294046,7.628640088,2.155882644,2.166125819,-10.18138817,-10.15862462,7.626046036,2.122993243,-10.14235158,7.624574238,2.155726721,-10.15123558,35.11248508,75.15670985,-110.2691949
1.5E-4,7.577374879,2.728485761,-10.32280656,7.56877416,7.1928174,2.661426456,-10.22006821,7.082691158,2.695671011,-10.33003782,7.145831529,2.651806882,-10.31630337,7.200843868,2.742517858,2.726139032,-10.31449794,-10.32864281,7.20099523,2.682455148,-10.27881345,7.198259454,2.715091639,-10.28544867,29.00552584,79.77851513,-108.784041
3.0E-4,7.13643867,3.307090264,-10.46078675,7.127525208,6.748123242,3.209344295,-10.32361645,6.633683827,3.24050995,-10.4233537,6.696779379,3.199283859,-10.41693463,6.750779166,3.320344987,3.276994777,-10.41490687,-10.4656916,6.753615565,3.232936251,-10.3826589,6.74965784,3.26534983,-10.3870393,22.80555625,84.14557166,-106.9511279
4.5E-4,6.672786281,3.875102286,-10.56539933,6.663589471,6.282617302,3.746670101,-10.39455276,6.164253003,3.774612978,-10.48372472,6.227092795,3.736197279,-10.48465211,6.279928789,3.88753203,3.817040354,-10.48244079,-10.56935264,6.285384828,3.772775968,-10.45368576,6.28024896,3.804845617,-10.45582319,16.53245954,88.2438657,-104.7763252
6.0E-4,6.187879675,4.430735797,-10.63632617,6.178430834,5.79762897,4.271846787,-10.43279676,5.675773367,4.296435775,-10.51108349,5.738127318,4.260991661,-10.51936735,5.789655821,4.44229529,4.344719351,-10.51700756,-10.63931156,5.797651124,4.300403809,-10.49179463,5.791387953,4.332017712,-10.49170584,10.20636572,92.06022798,-102.2665937
7.5E-4,5.683276754,4.972215666,-10.67334946,5.673608968,5.294733449,4.783208812,-10.43828522,5.169828265,4.804330384,-10.50541345,5.231465205,4.772001048,-10.52103644,5.281543575,4.982862288,4.858367711,-10.51856214,-10.6753545,5.291990073,4.814140073,-10.49692611,5.284653387,4.8451962,-10.49463983,3.847576355,95.58239468,-99.42997104
9.0E-4,5.160593118,5.497823441,-10.67636266,5.150741013,4.775571088,5.279269467,-10.41103945,4.648046198,5.296798507,-10.46680834,4.708742337,5.267724942,-10.48971392,4.757223373,5.507517557,5.356475132,-10.48716213,-10.67737896,4.770039192,5.31247423,-10.46911613,4.761679706,5.342874463,-10.46466838,-2.523521378,98.7990601,-96.27553872
0.00105,4.621471943,6.005890804,-10.64534019,4.611471485,4.24164963,5.758632483,-10.35114879,4.111931698,5.772435863,-10.39541743,4.171464283,5.746748706,-10.42551377,4.218204931,6.014596033,5.837628383,-10.42292154,-10.64536352,4.233310386,5.793984446,-10.40845714,4.22397959,5.823638222,-10.40189862,-8.886510013,101.6997828,-92.81327277
0.0012,4.067644304,6.494798471,-10.5803961,4.057532566,3.694629919,6.219800743,-10.25886455,3.563163371,6.229773009,-10.29153299,3.621305665,6.207583256,-10.32870656,3.666165173,6.502481956,6.300335084,-10.32610186,-10.5794264,3.683474253,6.257161831,-10.31520966,3.673225406,6.285990966,-10.30659122,-15.22100799,104.2754149,-89.05440688
0.00135,3.500871387,6.962982011,-10.48173086,3.490686247,3.136167416,6.661357349,-10.13451275,3.003412471,6.667427651,-10.15551578,3.059942946,6.648825083,-10.19962773,3.102782707,6.969614687,6.743193856,-10.1970372,-10.47977225,3.122211238,6.700590045,-10.18969093,3.111093314,6.728523371,-10.17907236,-21.50673394,106.5176932,-85.01095926
