Time,Subsystem #1|CTLs|Vars|VMrms1,Subsystem #1|CTLs|Vars|VSrms1,Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms10,Subsystem #1|CTLs|Vars|Vrms13,Subsystem #1|CTLs|Vars|Vrms16,Subsystem #1|CTLs|Vars|Vrms19,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms7
0,7.563451353,79.66831349,7.564953851,7.405437912,7.429076657,7.435837334,7.460521321,7.437222729,7.444177163
1.50E-04,7.56055162,79.66660545,7.562050482,7.386739499,7.40779673,7.415718433,7.441160615,7.418891104,7.425310225
3.00E-04,7.557697463,79.66492752,7.559141183,7.367553171,7.385775307,7.395032597,7.421310386,7.400096021,7.405966905
4.50E-04,7.554929422,79.66333438,7.556267201,7.348128098,7.363297581,7.374046466,7.401227874,7.38108075,7.386398938
6.00E-04,7.552280087,79.66186431,7.553462459,7.328681517,7.340622004,7.353000347,7.381139907,7.362062823,7.366827354
7.50E-04,7.549782816,79.66054101,7.550762286,7.309482797,7.318060195,7.332187313,7.361328332,7.343306527,7.347525622
9.00E-04,7.547462113,79.65937752,7.54819378,7.290756404,7.295878102,7.311850001,7.34202407,7.325031169,7.328720104
0.00105,7.54534224,79.65834137,7.545784368,7.272738477,7.274354954,7.2922463,7.323470452,7.30746714,7.310646968
0.0012,7.543449582,79.65741713,7.543564133,7.255663239,7.253766617,7.273628687,7.305907956,7.290840856,7.293539974
0.00135,7.541816613,79.65668868,7.541569744,7.239736932,7.234365064,7.256224026,7.289549218,7.275354548,7.277606579
0.0015,7.540465751,79.65613335,7.539828222,7.225166456,7.216396404,7.240254464,7.274603025,7.261206835,7.263051909
0.00165,7.539414359,79.65574301,7.538361904,7.212140955,7.200095929,7.225928584,7.261263437,7.248582155,7.250063479
0.0018,7.538670191,79.65550403,7.53718384,7.200812321,7.185657188,7.213414296,7.249686344,7.237624522,7.238792255
0.00195,7.538238438,79.65539802,7.536304747,7.191342417,7.173283524,7.202888067,7.240034036,7.228489521,7.229397262
0.0021,7.538117583,79.65540386,7.535728815,7.183849605,7.163131272,7.194483027,7.232428708,7.221293442,7.221998155
0.00225,7.538301774,79.65550281,7.535456014,7.178416684,7.155327332,7.188299824,7.226958499,7.216116492,7.216678648
0.0024,7.538790988,79.65568319,7.535492157,7.175135488,7.149995514,7.184440387,7.223715927,7.213047238,7.213528714
0.00255,7.539569262,79.65579103,7.535826964,7.174034946,7.147194729,7.182943601,7.222730739,7.21211455,7.212578382
0.0027,7.54064967,79.65604462,7.536479437,7.175132458,7.146965245,7.183832725,7.224020341,7.213335051,7.213843335
0.00285,7.54201339,79.65632342,7.537436049,7.178428728,7.149325922,7.187111354,7.227583868,7.216707038,7.217321742
0.003,7.543650532,79.65673505,7.538692173,7.183896303,7.154256557,7.192749351,7.233386431,7.222197436,7.222981617
0.00315,7.545539567,79.65732261,7.540231134,7.191458476,7.161687213,7.200665293,7.241345083,7.229727205,7.230741023
0.0033,7.54765935,79.65810708,7.542036256,7.201042323,7.171544845,7.210781125,7.251382719,7.239222707,7.240524257
0.00345,7.549981372,79.65908903,7.544083075,7.212517317,7.183696503,7.222958981,7.263362697,7.250552781,7.252198175
