Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.535099164,7.208887536,7.214419583,7.160946662,7.193467391,7.225161483
7.535290719,7.219536809,7.21468497,7.1608936,7.184569919,7.224597818
7.535514639,7.209733642,7.215046516,7.161107032,7.194183477,7.225874694
7.535773787,7.220512676,7.215807908,7.161587752,7.185477683,7.225814098
7.53606443,7.211544027,7.216668835,7.162335057,7.195932523,7.227600541
7.536390278,7.22243499,7.217923882,7.163348742,7.187430822,7.228041732
7.536747323,7.214311227,7.219279454,7.164626143,7.198707436,7.230331351
7.537138495,7.225293185,7.221022064,7.166167857,7.190418852,7.231269289
7.537560859,7.218022734,7.222866034,7.167969729,7.20249555,7.234054128
7.538015811,7.229072437,7.225087085,7.170031189,7.194426425,7.23548067
7.538501276,7.22266028,7.227410352,7.172349255,7.207278108,7.238749881
7.539018835,7.233752803,7.23009813,7.1749194,7.199432601,7.240654271
7.539565227,7.228200019,7.232888375,7.177741689,7.213030252,7.244393729
7.540142888,7.239310057,7.236029932,7.180807922,7.205411547,7.246763851
7.540747511,7.234612311,7.239269995,7.184117154,7.21972074,7.250954628
7.541382385,7.245712112,7.242849078,7.187663659,7.212329076,7.253775021
7.542041684,7.241863545,7.246521095,7.191441847,7.227314158,7.258397418
7.542730327,7.252922588,7.250517659,7.195448371,7.220146151,7.261648789
7.543442011,7.249915329,7.25460235,7.199675894,7.235769596,7.266681624
7.544179886,7.260901231,7.258993728,7.204119578,7.228819464,7.270342046
7.544939927,7.258722459,7.263467495,7.208772312,7.245039086,7.27575984
7.545723194,7.269601128,7.268228367,7.213626965,7.238298407,7.279804641
7.546526904,7.268236902,7.27306731,7.218680451,7.255071355,7.285581569
7.54735132,7.278973615,7.278170769,7.223918266,7.248530283,7.289984445
