Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.572960165,7.423385142,7.430025434,7.382317654,7.411908308,7.445359792
7.579650404,7.47136386,7.479995657,7.436369264,7.464152098,7.496120053
7.584826325,7.511805667,7.52220796,7.482671767,7.508402532,7.538906677
7.58807722,7.541075133,7.552867092,7.51706432,7.540686449,7.569871836
7.589143853,7.556582481,7.569262314,7.536510101,7.558154172,7.58627748
7.587907347,7.556986222,7.56997961,7.539336199,7.559303607,7.586710445
7.584476565,7.542318198,7.555028366,7.52537521,7.544111229,7.57120768
7.579150254,7.51394526,7.525804808,7.495942843,7.513996548,7.541216746
7.572389726,7.474449156,7.48496809,7.453716522,7.471694352,7.499465494
7.564796942,7.427379898,7.436187164,7.402481555,7.420996074,7.449703628
7.557130176,7.376959517,7.383830551,7.34681041,7.366431629,7.396384289
7.55011545,7.327676426,7.332553369,7.291641537,7.312846654,7.344246344
7.544350253,7.28388052,7.286880999,7.241841844,7.264971335,7.297891836
7.540328354,7.249459581,7.250868555,7.201836801,7.227062741,7.261438662
7.538375805,7.227493804,7.227743509,7.175223473,7.20252816,7.23815779
7.538632573,7.220004577,7.219638898,7.164462936,7.193637874,7.230200733
7.541062694,7.227752563,7.227380055,7.170635616,7.201296055,7.238383829
7.54552452,7.250163519,7.250398106,7.19332095,7.224943798,7.262100691
7.551667117,7.285304772,7.286707071,7.230564046,7.262535408,7.299303129
7.558929984,7.330008954,7.333032355,7.278998806,7.310672609,7.346635675
7.566661346,7.380195103,7.385140006,7.33418539,7.364947588,7.399771913
7.574139218,7.431231935,7.438217622,7.39101752,7.420344099,7.453805727
7.580648244,7.47840681,7.487363429,7.444243117,7.471747056,7.50374896
7.585571962,7.517404154,7.528082278,7.488993458,7.514458961,7.545035446
7.588513548,7.544726287,7.55672198,7.521255711,7.544654594,7.57396387
7.589226865,7.557962541,7.570758363,7.538189437,7.559678705,7.587987109
7.587624359,7.555986664,7.569000505,7.538357431,7.558260806,7.585919173
7.58386247,7.539060349,7.551695851,7.521845177,7.540624246,7.568038734
7.578269019,7.508763929,7.520462502,7.490205264,7.508418391,7.536017808
7.571334761,7.467857263,7.478145119,7.44631717,7.464571468,7.492771984
7.563686238,7.42001613,7.428543127,7.394112823,7.413012682,7.442182369
