Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.564682917,7.385286212,7.391394048,7.343295009,7.37216219,7.405862397
7.56563812,7.391717216,7.398074625,7.350432942,7.379256683,7.412660069
7.566582727,7.398122213,7.404739194,7.357571352,7.38608806,7.419442485
7.567521591,7.404518303,7.41138877,7.364694577,7.393151315,7.4262058
7.568446713,7.410874468,7.418002048,7.371796329,7.399934797,7.43293317
7.569363084,7.417195428,7.424579017,7.37886047,7.406923354,7.439619916
7.57026264,7.423465852,7.43110255,7.385884167,7.413618936,7.446253084
7.571151343,7.429677278,7.437571011,7.39285068,7.420495079,7.452826679
7.572020481,7.435825207,7.44396663,7.399755372,7.42706311,7.459326867
7.572875287,7.441888962,7.450286947,7.406581553,7.433785361,7.465747093
7.573708856,7.447880024,7.456518745,7.413328181,7.440188377,7.472077727
7.574525242,7.453761668,7.46265503,7.419975414,7.44671912,7.478308124
7.57531791,7.459559248,7.468684978,7.426523184,7.452917711,7.484430678
7.576085694,7.465220455,7.474597709,7.432948808,7.45921548,7.490431126
7.576830812,7.470789007,7.480388759,7.439257806,7.465171185,7.496307869
7.57755314,7.476205578,7.486052114,7.445432923,7.471208622,7.502052104
7.578246758,7.481515754,7.491573939,7.451469863,7.476889729,7.507652597
7.578916365,7.486651304,7.496950118,7.457353762,7.482627299,7.513102082
7.579554986,7.491671878,7.502170062,7.463083319,7.487999907,7.518393068
7.580169638,7.496499893,7.507231327,7.468645221,7.493408299,7.523519842
7.580750761,7.50120261,7.512119911,7.474034798,7.49844158,7.528471369
7.581306254,7.505693372,7.516835278,7.479241167,7.503488433,7.533244106
7.581828584,7.510054565,7.521367773,7.484263239,7.508156394,7.537831025
7.582322937,7.514182624,7.525710551,7.489084587,7.512813645,7.542222746
7.582782909,7.518176172,7.529859756,7.493709282,7.517088,7.546417575
7.583213987,7.521919653,7.533807,7.498119716,7.521331273,7.550404992
7.58360966,7.525523499,7.537549893,7.502321544,7.525188004,7.554184491
