Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
6.331596457,6.435272116,6.461922399,6.406942433,6.433358277,6.494817438
6.278429903,6.437798293,6.467128202,6.411736092,6.437571689,6.500138314
6.327542423,6.445341659,6.472994019,6.41730651,6.444017984,6.506244899
6.302399321,6.450971663,6.479728767,6.423685685,6.450379883,6.513097037
6.326480192,6.458510426,6.487154824,6.430835127,6.457817953,6.52073934
6.32936632,6.467211689,6.495385372,6.438768557,6.466295423,6.529088834
6.328376322,6.474709076,6.504332625,6.447459567,6.474687172,6.538226782
6.359231995,6.486440556,6.514021036,6.456910693,6.485240767,6.548034783
6.333190174,6.493856638,6.524443481,6.467098971,6.494542554,6.558621626
6.391884721,6.508565877,6.535544224,6.478023267,6.507123606,6.569841683
6.340871486,6.515859299,6.547390714,6.489658793,6.51728774,6.581825531
6.427199568,6.53347989,6.559847979,6.502001172,6.531835821,6.594401105
6.351341867,6.540603056,6.57305792,6.515024522,6.542806322,6.607720748
6.465027055,6.561055653,6.586806637,6.52872078,6.559250364,6.621586186
6.36451705,6.567961909,6.601316507,6.54306872,6.570969387,6.636177472
6.505226383,6.59116197,6.616289718,6.558052323,6.589234905,6.651265183
6.380290973,6.597794351,6.632022871,6.573648772,6.601632649,6.667051153
6.547626734,6.623644759,6.648144265,6.589843081,6.621634335,6.683284217
6.398544729,6.629944042,6.665018615,6.606606397,6.634636646,6.7001826
6.592047428,6.658337322,6.682204698,6.623927675,6.656280803,6.717477038
6.419146883,6.664244157,6.700135048,6.641772816,6.669811331,6.735402445
6.638299458,6.695062449,6.718294821,6.660129147,6.692995461,6.753666892
6.441950469,6.700513065,6.73718884,6.678963666,6.706971586,6.772526907
6.68618717,6.73363245,6.756227911,6.698259888,6.731588771,6.791666632
6.466792937,6.738556036,6.775983896,6.717981676,6.745919344,6.811359694
6.7354885,6.77383817,6.79579617,6.738110541,6.771849871,6.831268414
6.493499664,6.778166852,6.81631267,6.758617418,6.786444725,6.851693145
6.785992138,6.815472825,6.83679352,6.779472962,6.813569457,6.872266072
6.521881767,6.819129913,6.857958686,6.800652556,6.828328775,6.893310956
6.83746897,6.858312158,6.878996812,6.822121769,6.856520995,6.914436599
6.551737947,6.861218693,6.900694628,6.843856905,6.871341295,6.935986079
6.889683849,6.902124236,6.92217499,6.86582286,6.90046989,6.957549308
6.582860863,6.904199433,6.944285912,6.887993001,6.915244812,6.979484381
6.942394423,6.9466695,6.966089475,6.91033469,6.945173973,7.001366126
6.615028534,6.947830254,6.988490348,6.932815266,6.959793918,7.023564279
6.995354548,6.991701882,7.010494996,6.955408238,6.990384243,7.045642441
6.648021019,6.991867449,7.033063734,6.978075837,7.004741106,7.067982208
7.048305446,7.036967831,7.055139161,7.000787301,7.035844499,7.090126767
6.681592165,7.036050888,7.077746021,7.023510703,7.049822938,7.112479172
7.10100384,7.082215476,7.099770579,7.046216153,7.081299557,7.134568527
6.715511193,7.080131681,7.122288167,7.068866386,7.094786807,7.156807079
7.153184563,7.127183873,7.144129432,7.091431007,7.12648586,7.178709131
6.7495276,7.123846486,7.166427035,7.113875253,7.139366052,7.200704023
7.204599075,7.17161736,7.187960536,7.136171253,7.171144264,7.222294513
6.783402092,7.16694141,7.209908953,7.158278885,7.183303364,7.24391759
7.25498452,7.215254016,7.231002917,7.180171523,7.215010177,7.265065179
6.816881172,7.209155682,7.252473735,7.201811923,7.226334861,7.286189046
7.304096078,7.257841621,7.273004926,7.223174638,7.257828103,7.306770848
6.84972709,7.250239017,7.293871263,7.244218638,7.268206775,7.327269776
7.351678822,7.299124315,7.313711691,7.264920719,7.299339564,7.347158335
6.881690507,7.289938905,7.333849882,7.28524235,7.308663913,7.366909811
7.397495472,7.33885842,7.352879953,7.305160616,7.339297689,7.385986034
6.912533279,7.328013026,7.372168072,7.324635953,7.347461187,7.404869415
7.441310337,7.376802727,7.390269315,7.34364843,7.377458604,7.423015374
6.942027045,7.364227865,7.40859292,7.362160608,7.384362192,7.440917456
7.482898127,7.412728416,7.425651655,7.380149975,7.413590757,7.458020141
6.96994794,7.39835622,7.44289814,7.397584183,7.419137259,7.474829655
7.522040053,7.446414806,7.458807063,7.414439671,7.447471029,7.490782401
6.996080874,7.43018278,7.474869377,7.430686169,7.451568728,7.506393743
7.558530269,7.477653675,7.489528139,7.446304124,7.478888868,7.521096843
7.020227087,7.459509729,7.504309789,7.461263911,7.481456643,7.535414912
7.592184257,7.506253322,7.517623746,7.47554588,7.50765016,7.54877449
7.0421997,7.486149066,7.531032366,7.489124103,7.508610968,7.561708373
7.622818788,7.532033242,7.54291447,7.501979823,7.533572703,7.573638184
7.061821432,7.50993099,7.554868545,7.514092293,7.53286029,7.585107811
7.65028172,7.554834494,7.565241891,7.525441126,7.556495419,7.595531743
7.078934119,7.530699936,7.575663964,7.5360079,7.554047531,7.605461235
7.674423602,7.574510706,7.584460696,7.545778476,7.57627048,7.614312198
7.093406712,7.548326883,7.5932906,7.55473673,7.572042137,7.62264285
7.695125972,7.590941506,7.60045134,7.56286622,7.592776036,7.629862365
7.105109987,7.56269209,7.607630202,7.570154918,7.58672362,7.636536932
7.712281757,7.604020958,7.613108713,7.576593145,7.605904867,7.642079518
7.113947003,7.573704601,7.61859301,7.582166478,7.597999979,7.647056058
7.725801778,7.613663581,7.622348634,7.586869685,7.615570924,7.650881987
7.119846428,7.581295621,7.626111074,7.590697565,7.605801431,7.654134603
7.735622678,7.619811471,7.628114324,7.59363314,7.621715599,7.656215399
7.122734832,7.585406392,7.630127603,7.595686107,7.610069402,7.657718365
7.741709274,7.622429051,7.630370729,7.596842525,7.624302348,7.658046961
7.122590621,7.586017482,7.630624018,7.597107781,7.610783842,7.657791099
7.744029457,7.621495283,7.629098547,7.596473749,7.623310535,7.656359888
7.119395386,7.583121843,7.627594685,7.594951922,7.607937857,7.654349518
7.742588071,7.617019901,7.62430848,7.59253217,7.618749741,7.651167234
7.113158156,7.57673715,7.621058485,7.589232266,7.601549269,7.647414867
7.737407639,7.609032655,7.616031504,7.585043795,7.610649972,7.642502236
7.103910729,7.566906207,7.61105961,7.579988434,7.591661425,7.637033592
7.728529826,7.597586996,7.604322296,7.574059037,7.599065291,7.630421828
7.091705905,7.553689523,7.597659784,7.567277581,7.57833544,7.623269674
7.716019697,7.582755932,7.589255314,7.559648039,7.584069558,7.615002597
7.076623204,7.53717698,7.580949945,7.551186612,7.56166192,7.606216116
7.699961286,7.564635888,7.570928182,7.541904116,7.565760027,7.596344262
7.058759148,7.517474423,7.561037228,7.531819223,7.54174788,7.585982028
7.680459276,7.543343568,7.549458924,7.520942181,7.544254757,7.574566848
7.038227737,7.494707362,7.538048253,7.509298437,7.518719964,7.562695969
7.657634118,7.51901337,7.524983509,7.496894998,7.519689713,7.549808161
7.015168834,7.469022337,7.512130475,7.483768904,7.492726028,7.536507174
7.631632123,7.491805542,7.497663291,7.469921247,7.492226604,7.52223117
6.989736844,7.440585218,7.483450791,7.455394894,7.463933446,7.50758418
7.602609182,7.461888522,7.467667977,7.440188327,7.462035689,7.492007203
6.962097698,7.409572205,7.452186595,7.424351932,7.432520338,7.476105896
7.570732139,7.429447649,7.435184439,7.407881529,7.429304553,7.459324606
6.932443235,7.376182733,7.418537865,7.390838466,7.39868775,7.442273577
7.536195078,7.39469028,7.400421091,7.37320761,7.394242456,7.424392949
6.900972236,7.34062309,7.382711744,7.355060605,7.362644044,7.406295619
7.499194198,7.357830837,7.36359359,7.336381721,7.357066229,7.387428912
6.867899461,7.303117746,7.344933346,7.317242545,7.324615615,7.368398051
7.459939704,7.319092855,7.324926583,7.297628106,7.318001868,7.348658119
6.833444378,7.263894137,7.30543074,7.277612581,7.284832231,7.328809787
7.418653925,7.278715352,7.284659997,7.257186617,7.277290739,7.308321094
6.7978416,7.223194584,7.26444672,7.236414086,7.243538544,7.287774252
7.375560494,7.236937766,7.243034349,7.215298603,7.235175087,7.266658911
6.761332883,7.181267158,7.222229605,7.193896108,7.200984828,7.245540088
7.33089111,7.19400828,7.200298713,7.172214391,7.19190591,7.223921024
6.724160782,7.138361412,7.17902933,7.150310137,7.157423205,7.202357453
7.284882986,7.15018053,7.156707502,7.128189929,7.14773962,7.180361908
6.686573854,7.094732407,7.13510105,7.105913251,7.113111226,7.158481536
7.237782639,7.105712065,7.112518617,7.083485449,7.1029365,7.136239334
6.648822517,7.050637278,7.090701929,7.060965085,7.068308611,7.11416932
7.189828119,7.06085633,7.067986225,7.038357933,7.057753116,7.091807197
6.611156682,7.006331648,7.046087456,7.01572393,7.023273546,7.069675889
7.141265161,7.01587168,7.023368846,6.993068951,7.012450606,7.04732348
6.573825226,6.962070891,7.001513035,6.970448756,6.978264254,7.025256021
7.092334009,6.971010165,6.978918545,6.947874308,6.967283917,7.003039576
6.53707536,6.918106846,6.957230194,6.925395032,6.933535313,6.98116048
7.043274983,6.926520675,6.934884189,6.903026651,6.922504773,6.959203418
6.501149236,6.874687463,6.913486448,6.880814316,6.889337306,6.937635747
6.994321223,6.882648081,6.891510524,6.858775742,6.878361155,6.916058708
6.466278665,6.832052572,6.870521331,6.836951283,6.845913096,6.894920226
6.945706963,6.839631498,6.849036086,6.815364608,6.835094773,6.873842608
6.432700143,6.790440118,6.828572156,6.794047932,6.803503226,6.853249794
6.897654436,6.797700183,6.807689599,6.77302765,6.792937866,6.832782475
6.400628025,6.750075403,6.787863789,6.752334996,6.762336037,6.812847724
6.850388894,6.757080573,6.767696455,6.731995526,6.752119293,6.793101967
6.370273295,6.711177029,6.748614221,6.712036267,6.722633003,6.773930336
6.804120941,6.717984822,6.729267721,6.692485577,6.712853873,6.755010326
6.341837523,6.673951922,6.71102976,6.673363936,6.684603873,6.736702037
6.759047781,6.680612939,6.692602233,6.654702916,6.675344213,6.718704517
6.315510699,6.638597894,6.675307542,6.636521717,6.648449363,6.701357877
6.715369736,6.645158721,6.657892294,6.618846292,6.639786428,6.684374705
6.291471747,6.605304454,6.641636268,6.601704863,6.614361699,6.668084282
6.673276127,6.611807012,6.625320777,6.585105303,6.606367376,6.652201441
6.269871206,6.57423542,6.610179568,6.569083924,6.582507982,6.637042802
6.632940737,6.580722849,6.595050894,6.553650166,6.57525423,6.622345532
6.250870108,6.54556023,6.581105972,6.538834308,6.553060188,6.608399375
6.594531115,6.552063285,6.567237532,6.52464264,6.546605855,6.594959458
6.234597462,6.51942248,6.554558449,6.511106125,6.526164735,6.582294463
6.558206057,6.525972384,6.542022357,6.498231521,6.520567914,6.570182254
6.221178097,6.495957807,6.530672101,6.486041319,6.501959908,6.558860562
6.524106816,6.502578066,6.519530852,6.474549666,6.497269906,6.54813677
6.210714973,6.475286012,6.509566384,6.463766626,6.480568284,6.538214426
6.492366015,6.481993378,6.499873295,6.453714178,6.476826,6.528930656
6.203300101,6.457514429,6.491348067,6.444395982,6.462099691,6.520460037
6.46310794,6.464321111,6.48314964,6.435832164,6.459339988,6.512661128
6.199008323,6.44273381,6.476107612,6.428026545,6.446647276,6.505685076
6.43643887,6.449646434,6.469442212,6.420993129,6.444897945,6.499407762
6.197890241,6.431015698,6.463916587,6.414736977,6.434285232,6.493958472
6.412461769,6.438042379,6.45882066,6.409273125,6.433573084,6.489237395
6.199999142,6.422428214,6.454842646,6.404601312,6.425083528,6.485344962
6.391257123,6.429563168,6.451336274,6.400730336,6.425420125,6.482198693
6.205350247,6.417011159,6.448925871,6.397666133,6.419084307,6.479881984
6.372902405,6.424252735,6.447029529,6.395411129,6.420482664,6.478329341
6.213955519,6.414795385,6.446197185,6.393968582,6.416320331,6.477597829
6.357451184,6.422135165,6.445921306,6.393342472,6.418784567,6.477647623
6.225810413,6.415795885,6.446671659,6.393529262,6.416808158,6.478504937
6.34495073,6.423220877,6.448018745,6.394537294,6.420335692,6.480158147
6.240892885,6.420012896,6.450349918,6.3963544,6.420549598,6.482601396
6.335430409,6.427503631,6.453312168,6.398990829,6.425128787,6.48584884
6.259162413,6.427428194,6.457214248,6.402431181,6.427527742,6.489867038
6.32890107,6.434959844,6.461775067,6.406681644,6.433139408,6.494690943
6.280566183,6.438008059,6.467231282,6.411730592,6.437709767,6.500266264
6.325370361,6.44555603,6.473370581,6.417577169,6.444332479,6.506645302
6.305031156,6.451704056,6.480353463,6.424209437,6.451048282,6.5137494
6.324826455,6.459239908,6.488043157,6.431625711,6.458653957,6.521654322
6.332479156,6.468454677,6.496519758,6.439809958,6.467482032,6.530253336
6.327234418,6.47594031,6.505718896,6.448756431,6.476030861,6.539642281
6.362805047,6.488177182,6.515648313,6.45845356,6.486928708,6.549694443
6.332556392,6.495576704,6.526314222,6.468888884,6.496380421,6.560523828
6.395893649,6.510775939,6.537644411,6.480047788,6.509292651,6.5719764
6.340729412,6.518047229,6.549724673,6.491920954,6.519598513,6.584192988
6.431617863,6.53614264,6.562400683,6.504487549,6.534465349,6.596990306
6.351676218,6.543236125,6.575831946,6.517735782,6.545566762,6.610530172
6.469839669,6.564152707,6.589793379,6.531650159,6.562321405,6.624611034
6.365315103,6.571020725,6.604510728,6.546209522,6.574159522,6.639408807
6.510396727,6.594663365,6.61968096,6.561395396,6.592717593,6.654696108
6.381530061,6.601250706,6.635608875,6.577190727,6.605223825,6.670675816
6.55312843,6.627525066,6.651914683,6.593574511,6.62550293,6.68709574
6.400203003,6.633772269,6.66897051,6.610523621,6.638602665,6.704174529
6.597853843,6.662569533,6.686327301,6.62802012,6.660507793,6.721641975
6.421200526,6.668413436,6.704421751,6.646033966,6.674120768,6.739730483
6.644372453,6.699612766,6.722736155,6.664549271,6.69754696,6.758151753
6.44437789,6.704993925,6.74178056,6.683538799,6.711594293,6.777161096
6.69249347,6.738468416,6.760955689,6.702975154,6.736431966,6.79643907
6.46955639,6.743311573,6.780843813,6.722833687,6.750818042,6.816263212
6.741999593,6.778928898,6.800779441,6.743089678,6.776953261,6.836297291
6.496569712,6.783163073,6.821406731,6.763712022,6.791584925,6.856831922
6.792670735,6.820781066,6.841995232,6.784678658,6.818895434,6.877514302
6.52522414,6.824330142,6.863250127,6.80595249,6.833673173,6.898648178
6.844277405,6.863800556,6.884379807,6.827516094,6.862031689,6.919866971
6.555326217,6.866589672,6.906149874,6.84932831,6.876855873,6.941488071
6.896579192,6.907752205,6.927698982,6.871365476,6.906124526,6.963121647
6.586659476,6.909702602,6.949866393,6.893596721,6.92089039,6.985112499
6.949339018,6.952399723,6.971717294,6.91598768,6.95093468,7.007043231
6.61900252,6.953426394,6.994156808,6.938511501,6.96553067,7.029279282
7.002307589,6.997494382,7.016186906,6.961131598,6.9962107,7.051384598
6.652127781,6.997514461,7.038774212,6.983822196,7.01052653,7.073742232
7.055230525,7.042783442,7.060855948,7.006541023,7.041696844,7.095894744
6.685800705,7.041713318,7.08346499,7.029270923,7.055620844,7.118248614
7.10785772,7.088012967,7.105471286,7.051959014,7.0871363,7.140321504
6.719778454,7.08576529,7.127971554,7.074595901,7.100552571,7.162541984
7.159933945,7.132926467,7.149777127,7.097125024,7.132269367,7.1844101
6.753816754,7.129412689,7.172036397,7.119534908,7.145060584,7.20636604
7.211201759,7.177263678,7.193514094,7.141775053,7.176832892,7.227902446
6.78767205,7.172400344,7.215404583,7.163828008,7.188886247,7.249467054
7.261402281,7.22076487,7.23642333,7.185645455,7.220564295,7.270541149
6.821094621,7.214467974,7.257816249,7.207210516,7.231766196,7.291586696
7.310294167,7.263179247,7.278254422,7.228480063,7.263209345,7.312077156
6.853843891,7.255366282,7.299022638,7.249428318,7.273447979,7.332477709
7.357619257,7.304250828,7.318752478,7.270018929,7.304509502,7.352257281
6.88567841,7.294846369,7.338775388,7.290227708,7.313679697,7.371893355
7.403143042,7.343737418,7.35767579,7.310014776,7.344219577,7.390841537
6.916356683,7.332664283,7.376831362,7.329359533,7.352214565,7.409592332
7.446630509,7.381400753,7.394786879,7.348224538,7.382098583,7.427594192
6.945652557,7.368588881,7.412960196,7.366587863,7.388818805,7.445346117
7.487858254,7.417011317,7.429856879,7.384413352,7.417914294,7.462288362
6.973340413,7.402393977,7.446936619,7.401681484,7.423263779,7.478931423
7.526607599,7.450350281,7.462667812,7.418357337,7.451445475,7.494708087
6.999213258,7.433870914,7.478552883,7.434426854,7.455338493,7.510142486
7.562681886,7.481214434,7.493017132,7.449847853,7.482486474,7.524652881
7.023070717,7.462819148,7.507609333,7.464618047,7.484840174,7.538781831
7.595893017,7.509413893,7.520715699,7.478689893,7.510845243,7.551935716
7.044723435,7.489054068,7.53392272,7.492065892,7.51158256,7.564668454
7.626064879,7.534770113,7.545585749,7.504699597,7.53634126,7.576381129
7.064004444,7.512408966,7.557327279,7.51659849,7.535397073,7.587638791
7.653042547,7.557126586,7.567471685,7.527714907,7.558816145,7.59783575
7.080758375,7.532733437,7.577673723,7.538060392,7.556131774,7.607545905
7.676680602,7.57633995,7.586231084,7.547587619,7.578125119,7.61615956
7.094849059,7.549896779,7.594832623,7.556316217,7.573654735,7.62426269
7.696868972,7.592294794,7.601749244,7.564196954,7.594151216,7.631240135
7.106159122,7.563787726,7.608693969,7.571249938,7.587853659,7.637681578
7.713494126,7.604883724,7.613919908,7.577430796,7.606786095,7.642973723
7.114590406,7.574315102,7.619167874,7.582765598,7.598636479,7.647715014
7.726481619,7.614033697,7.622670933,7.587211138,7.615955714,7.651290537
7.120073131,7.581412649,7.626189169,7.590792355,7.605936226,7.654300278
7.7357652,7.619682029,7.627940831,7.593470775,7.621596854,7.656131556
7.122545102,7.585030049,7.629709002,7.595275882,7.609702355,7.657390958
7.741303911,7.62179538,7.629697398,7.596172045,7.623675806,7.657466971
7.121979581,7.585146173,7.629707407,7.596190815,7.609913482,7.656969485
7.743086813,7.620364478,7.627932282,7.59530102,7.622182888,7.655290729
7.118365201,7.581759693,7.626184491,7.59353191,7.606568369,7.653038323
7.741111148,7.615395003,7.622652588,7.590859929,7.617124131,7.64961239
7.111711731,7.574890858,7.619161717,7.587315778,7.599687515,7.645621255
7.735401198,7.606922796,7.613895328,7.582881024,7.608535671,7.640471223
7.102062846,7.564589598,7.608690095,7.577588892,7.58932121,7.634771503
7.726005953,7.595003581,7.601717515,7.571416837,7.596473848,7.627926501
7.089466056,7.5509152,7.594830401,7.564407037,7.575529425,7.620552076
7.712994082,7.579716893,7.586199938,7.556544048,7.581018975,7.612061072
7.074007301,7.533962405,7.577678454,7.547862787,7.558407902,7.603060923
7.696449422,7.561158426,7.567439584,7.538355293,7.562267656,7.59297403
7.055784931,7.513839008,7.557343169,7.528061126,7.538065368,7.582408898
7.676480673,7.539449071,7.54555883,7.516969981,7.540342292,7.570789728
7.034915823,7.490673088,7.533953812,7.505127739,7.514631099,7.55872716
7.653213904,7.514729608,7.52069972,7.492527146,7.515385072,7.54565196
7.011542865,7.464615572,7.5076622,7.479212148,7.488257497,7.532169362
7.626795441,7.487156971,7.493020478,7.465182006,7.487554464,7.517720612
6.985823255,7.435833963,7.478636855,7.450480108,7.459113502,7.502905537
7.597378279,7.456901858,7.46269319,7.435104741,7.457023212,7.487169459
6.957924552,7.404506694,7.447057401,7.419109571,7.427379533,7.471116808
7.565144406,7.424160128,7.429914851,7.402490445,7.423988995,7.454196731
6.928042324,7.370835843,7.413126422,7.385301254,7.393259188,7.43700707
7.530270841,7.389128183,7.394883379,7.367535933,7.388650678,7.419001685
6.896378403,7.335030708,7.377054085,7.349264404,7.356963821,7.400787566
7.492974286,7.352033391,7.357826939,7.330468542,7.351237609,7.381813372
6.863142292,7.297311423,7.339061238,7.311219681,7.31871586,7.362680275
7.453454973,7.313094422,7.318965416,7.291507848,7.311971017,7.342852594
6.828559659,7.257912953,7.299383463,7.2714026,7.278752427,7.322921426
7.411936463,7.272550149,7.278538878,7.250894293,7.271092498,7.30236015
6.792867058,7.217076791,7.258262431,7.230055267,7.237317115,7.281753244
7.368648202,7.230646359,7.236794004,7.208875122,7.228850381,7.260583086
6.756306435,7.175049918,7.21594547,7.187425745,7.194659223,7.239423476
7.32382428,7.187631312,7.193979704,7.165700759,7.185495657,7.217770634
6.719116003,7.132082381,7.172683214,7.143766605,7.151031608,7.196182959
7.277696849,7.143755646,7.150347567,7.121624607,7.141281966,7.17417449
6.681547504,7.088430117,7.128731511,7.09933558,7.106692558,7.152287512
7.23051474,7.099278611,7.106157255,7.076908182,7.096471166,7.130054091
6.643852507,7.044350692,7.084347944,7.05439267,7.061902185,7.107994468
7.182513478,7.05445252,7.061661663,7.031807765,7.0513188,7.085662123
6.60628699,7.000102692,7.039790855,7.009199375,7.016921642,7.063561671
7.133939957,7.009534593,7.017118133,6.986583309,7.006084716,7.041255345
6.569086674,6.955934012,6.995308407,6.964007402,6.972001882,7.019236777
7.085037329,6.964778735,6.972780576,6.941492846,6.961025785,6.997086882
6.53250845,6.912102176,6.951157457,6.919077445,6.927402855,6.975275729
7.036038011,6.920430273,6.928894477,6.896785854,6.916390381,6.953401368
6.496791416,6.868852798,6.90758333,6.874659352,6.883373039,6.931922783
6.987180671,6.876735636,6.885705924,6.852713146,6.872427791,6.910443747
6.462163312,6.826422863,6.864822723,6.830994568,6.840152359,6.889413513
6.93870027,6.833934337,6.843453758,6.809518415,6.829380153,6.868451423
6.428857164,6.785048767,6.823111472,6.788323929,6.797979956,6.847982339
6.890813745,6.79225083,6.802361848,6.767431028,6.787474836,6.827646907
6.397093639,6.744957406,6.782675913,6.746879478,6.757085605,6.807853906
6.843745467,6.751912339,6.762656503,6.726683033,6.746941692,6.78825476
6.36707764,6.706363417,6.74373006,6.706881086,6.717686836,6.769240555
6.797700597,6.713124993,6.724542817,6.687485518,6.707989502,6.750478294
6.339008749,6.669472925,6.706479443,6.668540643,6.679992738,6.732345894
6.752891645,6.676097292,6.688227697,6.650051531,6.670828955,6.714522312
6.313071346,6.634480534,6.671118161,6.632058435,6.644200834,6.697361977
6.70950999,6.641017606,6.653897959,6.614574647,6.635650813,6.680571495
6.289444818,6.601573877,6.637832985,6.597627957,6.610501488,6.66447331
6.667730658,6.608060141,6.621726487,6.581234659,6.602631832,6.648796597
6.268288255,6.57092237,6.606792639,6.565424804,6.57906696,6.633846255
