Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
6.272463371,6.471029782,6.501059928,6.45451977,6.473199769,6.530103868
6.222150575,6.423307781,6.454244431,6.403323137,6.424643374,6.485103273
6.22278688,6.426280311,6.457974266,6.403421909,6.427353414,6.490513946
6.274699104,6.479830391,6.512044888,6.454949011,6.481238576,6.5459745
6.374127986,6.579826349,6.612264863,6.55393513,6.582133256,6.647169952
6.513358122,6.718259578,6.750597284,6.692431922,6.721935709,6.785984103
6.681134669,6.883640858,6.915553583,6.858907609,6.889012733,6.950896608
6.863368992,7.061697252,7.092884749,7.038954754,7.068912623,7.127672398
7.044234321,7.236447759,7.26664912,7.216380882,7.245459363,7.300424026
7.207551123,7.391609792,7.420614049,7.37463416,7.402179702,7.453007256
7.33838253,7.512229784,7.539884148,7.498455129,7.523953291,7.570643436
7.424677359,7.586376951,7.61259465,7.575592894,7.598722465,7.641606046
7.45869265,7.606606021,7.631374229,7.598294738,7.618966937,7.658674569
7.437951233,7.570928434,7.594314386,7.564304385,7.582680475,7.620092586
7.365484827,7.48306131,7.505216444,7.477140874,7.493621307,7.529801882
7.249428884,7.351964262,7.373121033,7.345656666,7.360841898,7.396956533
7.101902847,7.190641813,7.211102288,7.182851825,7.197481282,7.234705738
6.93748651,7.014549878,7.034666178,7.00428634,7.019160538,7.058583634
6.771617251,6.839894439,6.86004076,6.826368326,6.842267517,6.884794881
6.619067614,6.682054164,6.702595161,6.66476242,6.682368596,6.728635359
6.492806779,6.554370035,6.575627041,6.533150551,6.552983673,6.603284235
6.40315743,6.467274412,6.48949613,6.442331229,6.464702385,6.518948578
6.357247902,6.42773404,6.451076104,6.399625359,6.424611892,6.482330553
6.358702604,6.438937219,6.463452703,6.408526028,6.435968871,6.496344156
6.407387934,6.500096947,6.525741317,6.468469358,6.497992103,6.559952805
6.49936465,6.606442544,6.633087866,6.574801171,6.605848098,6.668185953
6.62694361,6.749375302,6.776833507,6.718929419,6.750813238,6.812313896
6.779088554,6.916918721,6.944965171,6.888777181,6.920735223,6.980300328
6.942053055,7.094464521,7.122862061,7.069548995,7.100800103,7.157546123
7.100474131,7.265904187,7.29442274,7.244879906,7.274683621,7.328010623
7.238775055,7.415095222,7.443528723,7.398323489,7.426040828,7.475669366
7.342762771,7.527498177,7.555680202,7.515010846,7.540159704,7.586143686
7.401282457,7.591863772,7.619681141,7.583359505,7.605664474,7.648378508
7.40760517,7.601621854,7.629026526,7.596486082,7.615913823,7.656021188
7.360318258,7.555756135,7.58277344,7.553109419,7.569879751,7.608280054
7.26352281,7.458939694,7.485670622,7.457710514,7.472280797,7.510040503
7.126291041,7.320914533,7.347529148,7.319929377,7.332953288,7.371221826
6.961530388,7.155242963,7.181963244,7.153328268,7.165591531,7.205505831
6.784401643,6.977639287,7.004714348,6.973724503,6.986068125,7.028653936
6.610740831,6.804295923,6.831967943,6.797505279,6.81074599,6.856819879
6.455571032,6.650353635,6.678822458,6.640081792,6.654938189,6.705020946
6.331929336,6.528733523,6.558124103,6.514696694,6.531728274,6.585978591
6.250037191,6.449342229,6.47968076,6.431601842,6.451164113,6.509343842
6.216671752,6.41853508,6.449741003,6.397490408,6.419709502,6.481192549
6.234819545,6.4388342,6.470726309,6.415179681,6.439948443,6.503776417
6.303414255,6.508754872,6.541073319,6.483407546,6.510402353,6.575385104
6.417352425,6.62284026,6.655275167,6.596844985,6.625559254,6.690401914
6.567648787,6.771838764,6.804062838,6.746266459,6.776056413,6.839494646
6.741986978,6.943219512,6.97491495,6.919065635,6.949205328,7.010126289
6.925565966,7.122000889,7.152879076,7.100097649,7.129837195,7.187372329
7.102264291,7.291923038,7.321738888,7.272869329,7.301496397,7.35508295
7.256129547,7.436956618,7.46551827,7.421067949,7.447969369,7.497381014
7.37303948,7.542996014,7.570171779,7.530273782,7.554995026,7.60034559
7.442244739,7.599476174,7.625203803,7.589603625,7.611898467,7.653624894
7.457717391,7.600724724,7.625017705,7.593087667,7.612951065,7.651774878
7.418839384,7.546688596,7.569642576,7.540425635,7.558102295,7.594974344
7.330469716,7.442959355,7.464753443,7.437038965,7.453002793,7.489031015
7.202229384,7.300014189,7.320906126,7.293331521,7.308238293,7.34460268
7.047252653,7.131881217,7.152192723,7.123364698,7.137983436,7.175841359
6.880604185,6.954466028,6.974559608,6.943181836,6.958315527,6.998704153
6.71763168,6.783847301,6.804098027,6.76909603,6.785499377,6.829242099
6.572624135,6.634838236,6.655599407,6.616227005,6.634533723,6.682156897
6.45773497,6.519876431,6.541447349,6.497365569,6.518029354,6.569700685
6.382254256,6.448272374,6.470871745,6.422188455,6.44544325,6.500942267
6.352153452,6.425741007,6.449489827,6.396752498,6.422594917,6.481325231
6.369800606,6.45413588,6.479052774,6.423191774,6.451386147,6.512433597
6.433781134,6.531318932,6.557328744,6.499556694,6.529661397,6.591893938
6.538864546,6.651194093,6.678145801,6.619831234,6.65124002,6.713432541
6.676180296,6.80395807,6.831647934,6.774180329,6.806174285,6.867138655
6.833659729,6.976632576,7.004829386,6.949494592,6.981298232,7.039999156
6.996887774,7.153965141,7.18243182,7.13030806,7.161147611,7.216791187
7.150249718,7.31965847,7.348171209,7.300049188,7.329212355,7.381303556
7.278438635,7.457904702,7.48626961,7.442595327,7.469488945,7.517862155
7.368118608,7.555106597,7.583173694,7.544015713,7.568222384,7.613042327
7.409498208,7.601462673,7.629139801,7.594179032,7.615502659,7.657246544
7.397581274,7.59222345,7.619486723,7.588036573,7.606529204,7.645946916
7.332835345,7.528319472,7.555220083,7.526275513,7.542240632,7.580296917
7.221141045,7.416250048,7.442913366,7.41523154,7.429199152,7.466998552
7.07301954,7.267207973,7.293824169,7.266029983,7.278706395,7.317405118
6.902326129,7.095681895,7.122485519,7.093194642,7.105393237,7.146101771
6.724620701,6.917731281,6.944973483,6.912920875,6.925483159,6.969167182
6.555626938,6.749349148,6.777261827,6.741423766,6.755141233,6.80252627
6.409802687,6.605039383,6.633800477,6.593498401,6.609041635,6.660531869
6.299310933,6.496770909,6.52647415,6.481446715,6.499310049,6.55493186
6.233264426,6.433295064,6.463930997,6.414366486,6.434829326,6.494210085
6.217187881,6.419695188,6.451148011,6.397667862,6.420776805,6.483169577
6.252712632,6.457148362,6.48920776,6.432801894,6.458373581,6.522728803
6.337410783,6.542822591,6.575208231,6.517128801,6.544772875,6.609849718
6.464808887,6.6699282,6.70232152,6.643953031,6.673110645,6.737610193
6.624741864,6.828043631,6.860117565,6.80284245,6.832835958,6.895532806
6.803929056,7.003692564,7.035137457,6.980214509,7.010303284,7.070158614
6.986973802,7.181309523,7.211850484,7.160315092,7.189754968,7.245998651
7.157643428,7.344538109,7.373947193,7.326535271,7.354640359,7.406821435
7.300428782,7.477811946,7.50591642,7.463011727,7.489216254,7.537223896
7.40216258,7.568041602,7.594732566,7.556337382,7.580252344,7.624312822
7.453588114,7.606200659,7.631440209,7.597170435,7.618629006,7.659280449
7.450439381,7.58846017,7.61228919,7.581399144,7.600481376,7.638530087
7.393998814,7.516723681,7.539266333,7.510703362,7.527735116,7.564193774
7.290843042,7.398347093,7.419810109,7.392299615,7.407822969,7.443833991
7.151950697,7.245188289,7.265852675,7.238008024,7.252725345,7.289471539
6.991284694,7.072097616,7.092301787,7.062747687,7.07744906,7.116058069
6.824187279,6.895227523,6.915341556,6.882844066,6.898324646,6.939771085
6.665785129,6.730369863,6.750764889,6.714348939,6.731330837,6.77634608
6.529738408,6.59163747,6.612651879,6.571702193,6.590763811,6.639758351
6.427306808,6.490480909,6.512388965,6.466715443,6.488239614,6.541251127
6.366690489,6.4350282,6.458016651,6.407879972,6.432020737,6.488697805
6.352677274,6.429717675,6.453872446,6.399957668,6.426631825,6.486261821
6.386355599,6.475052973,6.500359486,6.443705663,6.472603841,6.534186256
6.465025798,6.567548506,6.5939031,6.535790636,6.56641023,6.62876671
6.582190018,6.69981175,6.727042656,6.668861769,6.700552555,6.762456504
6.727822753,6.860889656,6.888781397,6.831899828,6.863917,6.924220311
6.888959021,7.036918848,7.065235768,7.010879735,7.042441716,7.100182324
7.050620768,7.212132104,7.240639699,7.189797411,7.22014452,7.274625266
7.197125296,7.370223133,7.398706005,7.352057186,7.380510747,7.43134593
7.313649675,7.495944644,7.524222061,7.482087591,7.5081086,7.555244683
7.387882739,7.576809463,7.604749863,7.567066475,7.590308329,7.634019094
