Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.446789321,7.604273968,7.629691848,7.597113916,7.617177226,7.656717601
7.418051802,7.600634769,7.627124074,7.594940441,7.614319875,7.653928691
7.443686914,7.598484513,7.623622387,7.591870889,7.611314769,7.650250586
7.41094104,7.592997352,7.619313741,7.587923795,7.606642282,7.645726581
7.437183027,7.589220748,7.614083792,7.583097603,7.601938559,7.64032994
7.400488703,7.5819184,7.608066147,7.577406463,7.595482945,7.634103842
7.427329598,7.576544448,7.601139071,7.570852527,7.589110968,7.627020953
7.386757252,7.567469051,7.593453663,7.563456688,7.580913766,7.619134997
7.414192424,7.560537265,7.584871391,7.555214805,7.572914671,7.6104089
7.369827083,7.549738954,7.57556717,7.546161305,7.563025334,7.600913093
7.39787264,7.541305684,7.565388313,7.536288049,7.553457002,7.590603289
7.349800013,7.528842289,7.554522205,7.525632097,7.54193301,7.579555661
7.378478624,7.518972402,7.542813718,7.514193056,7.530861968,7.567729948
7.326801142,7.504915402,7.530456214,7.502003741,7.517774514,7.555201992
7.35614043,7.493679798,7.517291316,7.489070466,7.505273455,7.541934431
7.300974814,7.47811202,7.503524017,7.475427722,7.490704832,7.528008503
7.331006932,7.465589353,7.488983785,7.461080216,7.476854517,7.513381087
7.272476969,7.448599998,7.473894528,7.446071312,7.460893707,7.498145815
7.303244281,7.43488069,7.458071949,7.43040127,7.445786648,7.482252192
7.241482548,7.416566403,7.441756019,7.414120549,7.428530011,7.465803584
7.273033266,7.401748219,7.424751256,7.397227307,7.412266118,7.448744509
7.208179524,7.382210979,7.407309079,7.379774935,7.393815497,7.431183745
7.24056691,7.366395325,7.389226126,7.361761503,7.376498417,7.413063708
7.172769511,7.345747532,7.370768619,7.343248065,7.356966042,7.394502178
7.20605005,7.329045203,7.351720796,7.324228077,7.338709184,7.375435043
7.135466385,7.307399414,7.332358733,7.304763761,7.318207262,7.355983985
7.169703033,7.289926583,7.312464751,7.284855903,7.299129255,7.336088733
7.096496661,7.26740384,7.292317244,7.26456005,7.277778658,7.315867714
7.131743801,7.249274135,7.271693733,7.243881137,7.257995995,7.295261236
7.05609281,7.226002983,7.250886916,7.222880285,7.235924788,7.274396583
7.092413072,7.207339866,7.229660268,7.201557312,7.215564047,7.253205469
7.014488322,7.183444199,7.208315864,7.179974024,7.19289602,7.231819161
7.051947554,7.164370397,7.186611472,7.158132604,7.172082129,7.210168737
6.971929281,7.139979276,7.16485623,7.136094451,7.148946108,7.188387598
7.010587526,7.120619511,7.142801754,7.113863568,7.127807103,7.166405551
6.928658222,7.095861923,7.120762,7.091498157,7.104331794,7.144355951
6.968576816,7.076344237,7.098488516,7.069009896,7.082998708,7.122173068
6.884932494,7.051354991,7.076296066,7.046450625,7.05931849,7.099986698
6.926159763,7.03179832,7.053925761,7.023828559,7.037913587,7.077725058
6.840991282,7.006707541,7.031707704,7.001203917,7.014158062,7.055528678
6.883587753,6.987242027,7.009373725,6.978583156,6.992814698,7.033321026
6.797085524,6.962176521,6.987253662,6.956018872,6.969110339,7.011238048
6.841097411,6.942922186,6.965079364,6.93352422,6.947951787,6.989207204
6.753460174,6.918011109,6.943182827,6.911148124,6.924427166,6.967362763
6.798932217,6.899090605,6.921294318,6.888907902,6.903579576,6.945634222
6.710354607,6.87445727,6.899740872,6.866841881,6.880357381,6.924147448
6.757316139,6.855982604,6.87825372,6.844973965,6.859936372,6.902836168
6.668009413,6.831756309,6.857168374,6.823345516,6.837144884,6.881831315
6.716493316,6.813844462,6.83620319,6.801972992,6.817271044,6.861057138
6.62665202,6.79013962,6.815696196,6.780895456,6.795024033,6.840643874
6.67667383,6.772895181,6.795361341,6.760129112,6.775805623,6.820514327
6.586497642,6.749826233,6.775542695,6.739715459,6.754216641,6.800801903
6.638078422,6.733358925,6.755951547,6.719671537,6.73576698,6.781429323
6.547771278,6.711038403,6.736928873,6.700032361,6.714947349,6.762524471
6.600906129,6.695441914,6.718179442,6.680811958,6.69736425,6.744005964
6.510670348,6.673975196,6.700052951,6.662050711,6.677418052,6.726007912
6.565354768,6.659344661,6.682244456,6.643756392,6.660800595,6.708441618
6.475391112,6.638832435,6.665109508,6.625971715,6.641827138,6.691444726
6.53161557,6.625255813,6.648334064,6.60869865,6.626267096,6.674921538
6.442112932,6.605789359,6.632276753,6.591980208,6.608356483,6.659010901
6.499857587,6.593349289,6.616621141,6.575818357,6.593940278,6.643616328
6.411017325,6.575020305,6.601727195,6.560255428,6.577182464,6.628876503
6.470241537,6.563787702,6.587267149,6.545284189,6.563985331,6.614685082
6.382255187,6.546677531,6.573612018,6.530955738,6.548459956,6.601190307
6.442928673,6.536726451,6.560425862,6.517256762,6.536559668,6.588278911
6.355980216,6.520907108,6.548075599,6.504232712,6.522337135,6.576094172
6.418046026,6.512296822,6.536227433,6.491873376,6.511796982,6.564525451
6.332322445,6.497836093,6.525243494,6.480218664,6.498943078,6.553710992
6.395726933,6.490624715,6.514796019,6.469265288,6.489825014,6.543546148
