Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms5,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.584140471,7.545484213,7.555650255,7.51523441,7.547371809,7.552605389,7.574853765
7.582819702,7.539655765,7.549638074,7.509415338,7.542029708,7.546597254,7.568685794
7.581217512,7.531813417,7.541555219,7.501530313,7.534234313,7.538348184,7.560393104
7.57935375,7.522057438,7.531503864,7.491680223,7.524086098,7.527963835,7.550080045
7.57725142,7.510525083,7.519625056,7.480003935,7.511727196,7.515589598,7.537891336
7.574931405,7.497353108,7.506060685,7.46663899,7.497307624,7.501373217,7.523973404
7.572423149,7.482715663,7.490991745,7.451765072,7.481014924,7.485501043,7.508509712
7.569752511,7.466800773,7.474610134,7.435575269,7.463060017,7.468178135,7.491697953
7.566964619,7.449794956,7.457107619,7.418255054,7.443653802,7.449608305,7.473736605
7.564096222,7.431933906,7.438726204,7.400045566,7.423058728,7.43004467,7.454873476
7.561191035,7.413442916,7.419697529,7.381178518,7.401533722,7.409733573,7.43534493
7.558286441,7.394541995,7.400248414,7.361878899,7.379333054,7.388917003,7.415383083
7.555423248,7.375486951,7.380639717,7.342405807,7.356750499,7.367873057,7.39525679
7.552637266,7.35651057,7.361114667,7.322998077,7.334067384,7.346860401,7.375215059
7.549962834,7.33784785,7.341911589,7.30389152,7.311561066,7.326138049,7.35550268
7.547436093,7.319741458,7.323280983,7.285335484,7.289522379,7.305974995,7.336376441
7.545087526,7.302410908,7.305447816,7.267553763,7.268218656,7.286614631,7.318067598
7.542935984,7.286071701,7.288636625,7.250769996,7.247918455,7.268301244,7.30080698
7.541018947,7.270938061,7.273065294,7.235200084,7.228883996,7.251272712,7.284818287
7.539353632,7.257188754,7.258919081,7.221031013,7.211345781,7.235732227,7.27029269
7.537960418,7.245007421,7.246386856,7.20845286,7.195536291,7.221886968,7.257422711
7.536854491,7.23454711,7.2356269,7.197628455,7.181655072,7.209911937,7.246371857
7.536047657,7.225936865,7.226771253,7.18869008,7.169875836,7.199956076,7.237275733
7.535550832,7.219290887,7.219939026,7.181755849,7.160359972,7.192154466,7.230257257
7.535369815,7.214699016,7.215221559,7.176918889,7.153231502,7.186611666,7.2254099
7.535505697,7.212218897,7.212677327,7.174237157,7.148585313,7.183399159,7.222794216
