Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37a,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37a,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.535211888,0.9706248524,0.9693493323,2.016405428,0.4302633783,-0.9324676036,1.347104622,-1.05086488,-1.724532795,-0.112682898,-0.8969958781,-0.2506402675,-0.451520405,0.9911285013,0.8737350702,0.3860701029,0.5793960343,-0.6638600843,0.1127109986,0.6607162653,0.3962544156
7.535034424,0.9703587051,0.9696496032,2.015843409,0.4303442566,-0.933045273,1.345850113,-1.016413552,-1.708348812,-0.1208879184,-0.8884650208,-0.2328086829,-0.4487979436,0.9961753632,0.8680171056,0.3796089389,0.575278646,-0.661761932,0.1104649788,0.6549435631,0.3968726051
7.534893157,0.9700905169,0.9699610892,2.015317507,0.430415731,-0.9335764731,1.344586696,-0.9818456139,-1.691488339,-0.1292503389,-0.8801199071,-0.215317342,-0.4433518954,1.001245989,0.8635187497,0.3791678361,0.5715132138,-0.6594290803,0.1096322655,0.6468661915,0.3977465767
7.534784694,0.9698206604,0.9702833625,2.014828457,0.4304777062,-0.9340605109,1.343316105,-0.9472103698,-1.675505865,-0.1377404512,-0.8719432626,-0.1974607472,-0.4401226671,1.006369072,0.8602463429,0.3738832038,0.5681042952,-0.6568872757,0.1087691399,0.6414761512,0.3988999329
7.534712951,0.9695495101,0.9706159792,2.014376942,0.4305300995,-0.9344967578,1.342040085,-0.9125555642,-1.658672154,-0.1463645568,-0.8639742751,-0.1800019215,-0.4343092665,1.011500604,0.8582043063,0.3744932836,0.565056667,-0.6541169716,0.1091990845,0.6337465515,0.4003070601
7.534674494,0.9692774424,0.9709584842,2.013963594,0.4305728412,-0.9348846529,1.340760389,-0.8779305329,-1.642980408,-0.155092905,-0.8561972361,-0.1622181486,-0.4305955948,1.016671507,0.857395783,0.3704033631,0.5623756364,-0.65114533,0.1097230031,0.6287743658,0.4019896071
7.534672456,0.969004835,0.9713104079,2.013588996,0.4306058743,-0.9352237005,1.339478778,-0.8433832445,-1.626264836,-0.1639310399,-0.8486487716,-0.1448895717,-0.4244419997,1.021835497,0.8578216374,0.3720726713,0.5600633921,-0.6479528613,0.1114154111,0.6214305919,0.4039227083
7.534703988,0.968732066,0.9716712688,2.013253674,0.4306291549,-0.9355134742,1.338197016,-0.8089626671,-1.610952,-0.1728494658,-0.8413145178,-0.1272761841,-0.4202684924,1.027025446,0.8594815804,0.3691892606,0.5581256652,-0.644567634,0.1133231525,0.6169092086,0.4061256331
7.534771928,0.9684595143,0.9720405745,2.012958103,0.4306426521,-0.9357536157,1.336916867,-0.7747168661,-1.594445031,-0.1818529512,-0.8342290636,-0.1101750235,-0.4138038538,1.032193476,0.8623729048,0.3719202083,0.5565623646,-0.6409705108,0.1162707116,0.6099873035,0.40857446
7.534869381,0.9681875583,0.9724178196,2.012702703,0.430646348,-0.9359438331,1.335640096,-0.7406941578,-1.579597845,-0.1909118823,-0.8273782019,-0.0928288759,-0.4091976886,1.037373305,0.8664920952,0.3702481537,0.5553793301,-0.6371904596,0.119551658,0.605947129,0.4112864258
