Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37a,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37a,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.572960165,0.9605645224,0.5736626299,2.039419781,0.4225840571,-0.8538851369,1.395540076,0.3154560778,-1.126411268,-0.6661408564,-0.8296397816,0.3901905562,0.1124684493,1.190128786,1.860399462,0.7772711261,0.8215441721,-0.4600792295,0.7317043381,0.645285111,0.7276072436
7.579650404,0.9615752756,0.5729338406,2.047769864,0.4206115416,-0.8440270841,1.400855569,0.1561020641,-1.216143255,-0.6490021271,-0.9002275725,0.3036590635,0.1297451068,1.170294679,2.085652784,0.8854214292,0.8994534914,-0.4336820291,0.8489370623,0.708186335,0.7682832905
7.584826325,0.9631178292,0.570875236,2.055200642,0.4189772722,-0.8354554641,1.408566363,-0.06424994235,-1.331803456,-0.6109550074,-0.9771125726,0.1867691215,0.1293125995,1.140427604,2.259815216,0.972091253,0.9660660706,-0.421205598,0.9361092451,0.7732780771,0.794142491
7.58807722,0.9650529687,0.5676249389,2.06100959,0.4178329851,-0.8289387187,1.417983267,-0.3257101118,-1.462776587,-0.555391147,-1.053048103,0.05022972774,0.111069871,1.103178436,2.366835261,1.02921706,1.015176469,-0.4237221586,0.9851162885,0.8345050026,0.8027073154
7.589143853,0.9672046384,0.5634326104,2.064641824,0.4172840252,-0.825066708,1.428253639,-0.6044114681,-1.596886925,-0.4873958852,-1.120827157,-0.093326184,0.07663487576,1.061899661,2.396790167,1.051481159,1.042204933,-0.4409143092,0.9914146639,0.8861530675,0.7931272009
7.587907347,0.9693763512,0.5586357646,2.065742623,0.417379346,-0.8241950959,1.438443482,-0.874840305,-1.721650009,-0.4132381669,-1.174017303,-0.2306054721,0.02917371561,1.020322379,2.346930571,1.036865332,1.044661091,-0.4710850371,0.9544978113,0.9234153007,0.7662714125
7.584476565,0.9713691525,0.5536269338,2.064189966,0.418108237,-0.8264108074,1.447627163,-1.112300291,-1.825547411,-0.3397456562,-1.207636422,-0.3489828292,-0.0269223608,0.9822044196,2.221908569,0.9868011444,1.022370957,-0.5113233244,0.8779096675,0.9428484704,0.7246332397
7.579150254,0.9730000265,0.5488154185,2.06010414,0.4194021496,-0.8315223389,1.454974644,-1.295211533,-1.899141217,-0.2736356649,-1.218648411,-0.4377185415,-0.08647831276,0.9509771528,2.033276603,0.9059895685,0.9774590122,-0.5577897189,0.768844521,0.9426860868,0.6720573029
7.572389726,0.9741195992,0.5445890279,2.053834094,0.4211411436,-0.839077657,1.459826898,-1.407101101,-1.935948748,-0.2208729032,-1.206221731,-0.488949342,-0.1440506734,0.9294303927,1.798352384,0.8019154619,0.9140954888,-0.6060935737,0.6373939643,0.9229748407,0.6133331565
7.564796942,0.9746267607,0.5412797811,2.045923136,0.4231654472,-0.8484084026,1.461752222,-1.438137954,-1.932991579,-0.1861246687,-1.171729908,-0.4983531385,-0.1944551293,0.9194656724,1.538563384,0.6841174289,0.8380659678,-0.6517131968,0.4955555916,0.8855365966,0.5537240432
