Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37a,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37a,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.564682917,0.961751624,0.9598392467,2.039384234,0.4232517656,-0.897437945,1.312244467,-0.009940483215,-1.309165233,-0.484160278,-0.8329766427,0.2479570949,-0.1166871277,1.164921004,1.887630309,0.8154026562,0.8137102789,-0.4130715489,0.7005447314,0.6495285475,0.6822958193
7.56563812,0.9617953343,0.9599651291,2.040456208,0.4229846667,-0.8960519914,1.312511244,-0.01951854138,-1.316036705,-0.4848628701,-0.8401840818,0.2421014301,-0.1125619036,1.164026155,1.919995266,0.8305220447,0.8240021792,-0.4081597728,0.7177997386,0.6563029058,0.6888371706
7.566582727,0.9618492372,0.9600747902,2.041532711,0.4227183591,-0.8946654795,1.312824944,-0.03035540725,-1.323470504,-0.485216854,-0.8476374782,0.2356159785,-0.1086622777,1.162938782,1.95208124,0.8455833615,0.834299704,-0.4034060437,0.7348548498,0.6632801771,0.6952469488
7.567521591,0.9619132617,0.9601680037,2.042612174,0.4224532267,-0.8932803407,1.313185177,-0.04243770295,-1.331488207,-0.4852202729,-0.8553249738,0.228488169,-0.1049970433,1.161659218,1.983840829,0.860508047,0.8445869949,-0.3988167768,0.7516920066,0.6704010391,0.7015149464
7.568446713,0.9619873222,0.9602445674,2.043693025,0.4221896521,-0.8918985083,1.313591483,-0.05574721309,-1.3400457,-0.484873887,-0.8632368402,0.2207496392,-0.1015679579,1.160190266,2.015230258,0.8753314841,0.854850217,-0.3943987733,0.7682800512,0.6777047348,0.7076326719
7.569363084,0.9620713185,0.9603043025,2.044773686,0.4219280164,-0.8905219139,1.314043331,-0.07026710924,-1.349165706,-0.4841765996,-0.8713602003,0.2123886992,-0.0983852576,1.158532479,2.046202834,0.8899755868,0.8650733879,-0.3901579545,0.7846018103,0.6851312943,0.7135902294
7.57026264,0.9621651361,0.9603470532,2.045852578,0.4216686986,-0.8891524843,1.314540127,-0.08597550511,-1.358799017,-0.483130157,-0.8796846141,0.2034396724,-0.09544783259,1.156689082,2.076715959,0.904475489,0.8752425813,-0.3861005249,0.8006262686,0.6927193781,0.7193794048
7.571151343,0.9622686461,0.9603726894,2.046928122,0.4214120746,-0.8877921405,1.315081204,-0.1028521975,-1.368970616,-0.4817349407,-0.8881970117,0.1938922051,-0.09276729439,1.154661963,2.106723945,0.9187547806,0.8853422715,-0.3822320162,0.8163378298,0.7004089686,0.7249909495
7.572020481,0.9623817053,0.9603811061,2.047998746,0.421158517,-0.8864427949,1.315665832,-0.120871671,-1.379626036,-0.4799935008,-0.8968861192,0.1837830042,-0.09033968484,1.152454489,2.136185794,0.9328481691,0.895358475,-0.3785579294,0.8317056992,0.7082380466,0.7304170021
7.572875287,0.9625041569,0.9603722232,2.049062879,0.4209083946,-0.8851063459,1.316293216,-0.1400109347,-1.390792243,-0.4779068328,-0.9057380194,0.1731023125,-0.08817830214,1.150068716,2.165057032,0.9466797826,0.905275938,-0.3750836432,0.8467155912,0.7161461961,0.7356491955
7.573708856,0.9626358303,0.960345985,2.05011896,0.4206620711,-0.883784677,1.316962495,-0.160240648,-1.402409379,-0.475478942,-0.9147409968,0.1618898749,-0.08627594713,1.1475088,2.193298083,0.9602848393,0.9150805863,-0.3718135938,0.8613370948,0.724170884,0.7406795923
