Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37a,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37a,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
6.455526646,1.028258273,0.9885038366,1.891316259,0.3936585276,-0.9216901008,3.778670879,-0.9429343363,-1.788940157,-0.2752061884,-1.044384628,0.07783401782,-0.3844413803,1.100753564,-0.5130840553,-0.6860698875,0.60497832,-1.650558859,-0.138861156,0.46908825,1.031804219
6.524757332,1.027780057,0.9893850544,1.893472935,0.3931122397,-0.9189815617,3.776738942,-0.9332672868,-1.794921788,-0.2830785696,-1.057559831,0.07933513817,-0.3770017392,1.110708388,-0.5172808771,-0.6954940953,0.6126303476,-1.664344288,-0.1307595271,0.4692166709,1.047894527
6.490110382,1.027332008,0.9902505801,1.89571049,0.3925538605,-0.9162055984,3.774935591,-0.9481610067,-1.802928531,-0.2908283893,-1.070656781,0.08049699213,-0.3694923068,1.120411099,-0.5138265616,-0.7039263597,0.6206255317,-1.678694596,-0.122767751,0.4700387303,1.064377657
6.55799631,1.026914773,0.9910992123,1.898025985,0.3919840884,-0.9133657992,3.773263663,-0.9391218389,-1.80907358,-0.2984770812,-1.083753608,0.08134395942,-0.3619350485,1.129871104,-0.5185872078,-0.713570489,0.6289628314,-1.693604905,-0.1145684944,0.4709481767,1.081225802
6.526693136,1.026528959,0.991929753,1.900416358,0.3914036397,-0.9104658394,3.771725828,-0.9542886051,-1.817196819,-0.3059814891,-1.096737109,0.08185583641,-0.3543103994,1.139051107,-0.5146643436,-0.7221275009,0.6376246453,-1.709046986,-0.1064876655,0.4725442453,1.098425305
6.593074569,1.026175136,0.9927410124,1.902878432,0.3908132489,-0.9075094802,3.770324589,-0.9458835814,-1.823471923,-0.3133647126,-1.109687957,0.08203739075,-0.3466733483,1.14796195,-0.5199810975,-0.7319424817,0.6466077459,-1.725010791,-0.09823377345,0.4742356447,1.115946385
6.565084892,1.025853838,0.9935318081,1.905408915,0.3902136677,-0.9045005614,3.76906227,-0.9612949941,-1.831674839,-0.3205820054,-1.122489592,0.08188968416,-0.3389721847,1.156565517,-0.5155917526,-0.7405762286,0.6558946833,-1.741470104,-0.09010731374,0.4766039951,1.133774986
6.629802408,1.025565553,0.994300968,1.908004405,0.3896056647,-0.9014429982,3.767941019,-0.9535265457,-1.838044318,-0.3276579372,-1.135224521,0.08139797361,-0.3312947103,1.164873573,-0.5214569974,-0.7505126453,0.6654798209,-1.758409372,-0.0818430017,0.4790736301,1.151879243
6.605084499,1.025310734,0.995047332,1.910661392,0.3889900245,-0.89834078,3.766962798,-0.9691517906,-1.846288986,-0.3345471441,-1.147775505,0.08058441405,-0.3235568753,1.172849069,-0.5166037443,-0.7591736521,0.6753461203,-1.775804547,-0.07371561076,0.482208328,1.170244393
6.667978059,1.025089788,0.9957697544,1.913376265,0.3883675469,-0.8951979652,3.766129377,-0.9620203852,-1.852717465,-0.3412753858,-1.160225991,0.0794148844,-0.315879191,1.180504216,-0.5230082234,-0.769179456,0.685485416,-1.793634429,-0.06548630133,0.4854487376,1.1888366
6.646477296,1.024903084,0.9964671042,1.916145312,0.3877390469,-0.8920186764,3.765442335,-0.977826026,-1.86096478,-0.3477963405,-1.172456998,0.07793271292,-0.3081455952,1.187802156,-0.5176943802,-0.7778169373,0.6958810136,-1.811877047,-0.05740369361,0.4893393973,1.207640594
6.707388725,1.024750943,0.9971382685,1.918964728,0.3871053531,-0.8888070988,3.764903049,-0.9713295826,-1.867415611,-0.3541374491,-1.184554291,0.07608434105,-0.3005087548,1.19475658,-0.5246275446,-0.787838621,0.7065223632,-1.830505576,-0.0492556944,0.4933386573,1.226620436
6.689040458,1.024633645,0.9977821546,1.921830618,0.3864673074,-0.8855674742,3.764512696,-0.9872802872,-1.875626398,-0.3602514611,-1.196397147,0.07393432594,-0.2928210422,1.201330913,-0.5188563041,-0.7964001454,0.7173932504,-1.849500656,-0.04126440732,0.4979707902,1.245760779
6.747818338,1.024551425,0.9983976918,1.924739003,0.385825764,-0.8823040986,3.764272243,-0.9814141855,-1.882062711,-0.3661674239,-1.208073336,0.07140984544,-0.2852668815,1.207540153,-0.526306992,-0.8063829358,0.7284806503,-1.868829636,-0.03324469788,0.5027126324,1.265023549
6.732548607,1.024504472,0.9989838358,1.927685823,0.3851815885,-0.8790213161,3.764182448,-0.9974730294,-1.890197828,-0.3718374099,-1.219460934,0.06859674568,-0.2776675037,1.213348498,-0.5200823491,-0.8148153625,0.7397692244,-1.88847655,-0.02539177353,0.5080674829,1.284393928
6.789031093,1.024492929,0.9995395675,1.930666943,0.3845356572,-0.8757235136,3.764243857,-0.9922296107,-1.896581705,-0.3772915515,-1.230648074,0.06540292239,-0.2702385763,1.218770988,-0.5280388459,-0.8247044852,0.7512431621,-1.908402227,-0.01754765712,0.5135310918,1.303831485
