Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37a,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37a,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
6.272463371,1.057379551,0.9564886379,1.880532423,0.4011873999,-0.9534208495,3.898484113,-1.008431589,-1.651994195,-0.01096203433,-0.6829052075,-0.1370972794,-0.543794111,0.7110094813,-0.5201795522,-0.505656951,0.5938650934,-1.601049483,-0.3188486261,0.6745289946,0.8206985237
6.222150575,1.049934143,0.9626177048,1.871063305,0.4018633423,-0.958969608,3.867705871,-0.9715730724,-1.658112414,-0.05720089073,-0.7314872448,-0.06955459852,-0.5321866061,0.7889880427,-0.5154301003,-0.5162974929,0.5514655944,-1.535138901,-0.3032357263,0.5995547526,0.7986078833
6.22278688,1.042517456,0.9698136663,1.868422935,0.4010812923,-0.9567754707,3.837083848,-0.9470631689,-1.680545165,-0.1149763286,-0.8041749564,-0.009561060948,-0.5044915451,0.8785356221,-0.512202737,-0.5462914441,0.5343062239,-1.513082469,-0.271046332,0.5375681425,0.8185208883
6.274699104,1.035755612,0.9775426561,1.87287312,0.3989117152,-0.947116243,3.80920567,-0.9366635502,-1.717217696,-0.1796587036,-0.895040071,0.03818730298,-0.4628956227,0.9724192502,-0.5106855652,-0.5935728838,0.5440181788,-1.537035248,-0.2246029805,0.4935719417,0.8793891502
6.374127986,1.030218499,0.9852287058,1.884102756,0.3955237973,-0.9308418783,3.786487682,-0.9412451811,-1.765122253,-0.2461020497,-0.9969296811,0.06967537472,-0.4104893497,1.062954234,-0.5109424507,-0.6548154524,0.580369548,-1.605965412,-0.1672635346,0.4713796818,0.9772837158
6.513358122,1.026382,0.9922654742,1.901225495,0.3911790688,-0.9093060252,3.770991713,-0.9607273735,-1.820484118,-0.3088788142,-1.101764452,0.08183136181,-0.3512032703,1.142430093,-0.5128911667,-0.725424078,0.6410768546,-1.715381633,-0.1033919207,0.4733254813,1.105239211
6.681134669,1.024593153,0.9980412694,1.922816507,0.3862224866,-0.8842827293,3.764237175,-0.9939726061,-1.878923176,-0.3625806425,-1.20090336,0.07287129128,-0.2897126006,1.203648565,-0.5162862822,-0.7996293793,0.7216781375,-1.857164911,-0.03823921241,0.4999481173,1.253254596
6.863368992,1.025038781,1.001984717,1.946999002,0.3810673116,-0.8578635268,3.767024754,-1.038674241,-1.935645495,-0.4022133995,-1.285637923,0.04268371852,-0.2312465701,1.240572292,-0.5207245663,-0.8707887087,0.81558324,-2.01969796,0.02234370491,0.5497038887,1.408652093
7.044234321,1.027720308,1.003631222,1.97158702,0.3761699956,-0.8323261223,3.7792991,-1.091306439,-1.985709217,-0.4236868167,-1.347872894,-0.006846363879,-0.1812413663,1.249035346,-0.525670972,-0.9319392619,0.9144139936,-2.188476788,0.07240466603,0.6188088246,1.556946674
7.207551123,1.032439497,1.002701004,1.994281711,0.3719929514,-0.8099674767,3.800084198,-1.147235154,-2.024397255,-0.4243492154,-1.380979613,-0.07170458793,-0.1448167448,1.227402607,-0.530513151,-0.9765898839,1.008703549,-2.34731857,0.1065803453,0.7013241539,1.683270591
