Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37a,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37a,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.446789321,1.055203115,0.984399964,2.031826326,0.3675660449,-0.7802960831,3.897034199,-1.283344062,-2.035531603,-0.2955247675,-1.264281141,-0.3012990483,-0.1560646038,0.9950923126,-0.5453858621,-0.9675782438,1.177996907,-2.619292786,0.07889348467,0.9581228702,1.810989939
7.418051802,1.056162114,0.9833314364,2.031840658,0.3677220958,-0.7807938201,3.900975158,-1.285606917,-2.032025899,-0.2873270497,-1.253603551,-0.3091532705,-0.1606841075,0.98272135,-0.5593952524,-0.9633210556,1.178907064,-2.619846029,0.07350086357,0.9657870856,1.805898687
7.443686914,1.057112238,0.9822515454,2.031734343,0.3679038287,-0.7814234178,3.904869737,-1.288762734,-2.028446876,-0.2789688371,-1.24252131,-0.3165920909,-0.1652344128,0.9702582591,-0.545415877,-0.956805106,1.179335453,-2.619589647,0.06807260241,0.9730954833,1.800052579
7.41094104,1.058052041,0.9811620923,2.031507633,0.3681109598,-0.782184083,3.908712066,-1.290962529,-2.024425997,-0.2705051516,-1.231135166,-0.3239669042,-0.1703995284,0.957739131,-0.5594325765,-0.951908843,1.17925283,-2.618435766,0.06214752788,0.9801022479,1.793441896
7.437183027,1.058980089,0.9800648939,2.031160969,0.3683431611,-0.7830748044,3.912496368,-1.293067005,-2.020269578,-0.261907821,-1.219380461,-0.3309001519,-0.1754736883,0.945166697,-0.5453279009,-0.944777939,1.178689759,-2.616477679,0.0562167215,0.9867193912,1.786099374
7.400488703,1.059894968,0.9789617811,2.030694984,0.3686000612,-0.7840943605,3.916216974,-1.295188554,-2.015757988,-0.2532328192,-1.20735982,-0.3377494523,-0.1811507487,0.9325789297,-0.5593305331,-0.9392821156,1.177618921,-2.613630078,0.04979950775,0.9930258608,1.778018628
7.427329598,1.060795282,0.9778545925,2.030110499,0.3688812457,-0.7852413136,3.919868333,-1.296227979,-2.01105039,-0.2444514225,-1.195008348,-0.3441332858,-0.1867141021,0.919976431,-0.5451233628,-0.9315817303,1.176072676,-2.609990463,0.04340770336,0.9989116362,1.769234822
7.386757252,1.061679658,0.9767451681,2.029408519,0.3691862586,-0.7865140168,3.923445018,-1.298258484,-2.006074448,-0.2356205629,-1.182430098,-0.3504149166,-0.1928659207,0.9073984156,-0.5590914338,-0.9255301061,1.174024388,-2.605473135,0.03654173209,1.004479312,1.759742728
7.414192424,1.062546752,0.975635349,2.028590232,0.3695146028,-0.7879106154,3.926941737,-1.298224362,-2.000845674,-0.2267118456,-1.169562923,-0.356209748,-0.1988796344,0.8948455719,-0.544804215,-0.9173082536,1.171509692,-2.600182624,0.02973365832,1.00959874,1.749581714
7.369827083,1.063395241,0.9745269677,2.027657004,0.3698657414,-0.7894290469,3.930353341,-1.300153598,-1.995435472,-0.2177813009,-1.15650744,-0.3618858746,-0.2054659741,0.8823550972,-0.5587174054,-0.9107483167,1.168501434,-2.594031172,0.02246513964,1.014394396,1.738746563
7.39787264,1.064223839,0.9734218498,2.02661038,0.3702390988,-0.7910670473,3.933674834,-1.299043255,-1.989718092,-0.2088019513,-1.143207339,-0.3670566638,-0.2118885425,0.869929581,-0.5443739266,-0.9020571086,1.165039225,-2.58713144,0.01528785923,1.018717452,1.727281361
7.349800013,1.065031286,0.972321806,2.025452077,0.3706340621,-0.7928221547,3.936901379,-1.300866273,-1.983908924,-0.1998291202,-1.129760327,-0.3720944653,-0.2188657472,0.8576047448,-0.5582129915,-0.8950394816,1.161095776,-2.579394175,0.007665497685,1.022714325,1.7151812
