Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.584140471,0.8070019039,0.9794701645,2.070901249,0.4170324381,-0.8635215525,1.370554537,-1.204689618,-1.490252353,-0.9386134286,-1.642042624,-0.8017891578,-0.9480228027,0.5788217315,2.471297158,0.7817356689,0.4389260532,-0.08239066298,1.323365031,1.652069961,1.081110587
7.582819702,0.807628872,0.9779799847,2.070467593,0.4172847467,-0.8645624591,1.37397172,-1.294278866,-1.5149522,-0.9397030321,-1.668697143,-0.860245245,-0.9972768871,0.5504594559,2.424960818,0.7666266346,0.4387593538,-0.1019795532,1.291430762,1.653927223,1.062592043
7.581217512,0.8082250274,0.9764993749,2.069666921,0.4176130295,-0.8660954387,1.377173181,-1.377098978,-1.536401859,-0.9402179535,-1.691475602,-0.9142280134,-1.045886715,0.5236020415,2.368993836,0.7485517482,0.4385618761,-0.1243251612,1.252870227,1.649703887,1.040694407
7.57935375,0.8087826431,0.9750474381,2.068509821,0.4180129686,-0.8681005345,1.380118139,-1.452087533,-1.554328429,-0.9401557797,-1.710093765,-0.9630435087,-1.09321603,0.4985996101,2.304129965,0.7277547159,0.4383339929,-0.1491266305,1.208202734,1.639474228,1.015709824
7.57725142,0.8092944966,0.9736427758,2.067011443,0.4184793197,-0.8705516126,1.38276927,-1.518288366,-1.568511829,-0.9395160854,-1.724320724,-1.006078285,-1.13866255,0.4757659208,2.231212161,0.704499203,0.4380834571,-0.176066361,1.158012292,1.623377281,0.9879728892
7.574931405,0.8097539714,0.9723032468,2.065191296,0.4190059782,-0.873416737,1.385093185,-1.574862313,-1.578777894,-0.9383085661,-1.733986314,-1.042789462,-1.181639696,0.4553917301,2.151186496,0.6790905612,0.4378109062,-0.2047882212,1.102959396,1.601634937,0.9578464398
7.572423149,0.810155147,0.9710457528,2.063072928,0.4195860619,-0.876658545,1.387060842,-1.621094462,-1.585009404,-0.9365530431,-1.738985543,-1.072723399,-1.221599345,0.4377363354,2.065092178,0.6518629262,0.4375195598,-0.2349158964,1.043767969,1.574545763,0.9257254215
7.569752511,0.8104928814,0.9698860167,2.06068364,0.4202120042,-0.8802348235,1.388647865,-1.656406548,-1.587139775,-0.9342706236,-1.739267839,-1.095517937,-1.258040216,0.423015898,1.97403889,0.6231623125,0.437215877,-0.266063749,0.981200005,1.542462515,0.8920273348
7.566964619,0.8107628754,0.9688383375,2.058054124,0.4208756681,-0.8840992207,1.389834744,-1.68032974,-1.585152847,-0.9314965061,-1.734851696,-1.110893736,-1.290491278,0.4114206246,1.879240405,0.5933865488,0.4368940186,-0.2978062568,0.9160814771,1.505824041,0.8571810083
7.564096222,0.8109617217,0.967915583,2.055217977,0.4215684762,-0.8882015785,1.390607189,-1.692628903,-1.579108701,-0.9282638874,-1.725814169,-1.118699961,-1.31858451,0.4030765548,1.781869708,0.5628812463,0.4365777102,-0.3297738298,0.8492262241,1.465086768,0.8216436145
