Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.564953851,0.810877957,0.969542508,2.056514567,0.421446352,-0.88901237,1.388895618,-1.688383645,-1.579923945,-0.929235685,-1.736910495,-1.116623368,-1.306330204,0.409349328,1.80828778,0.570951914,0.436695837,-0.322952452,0.867657635,1.477398131,0.832500865
7.562050482,0.811024788,0.968809135,2.053642355,0.422154189,-0.893155738,1.38940726,-1.692273403,-1.571058824,-0.925705065,-1.72455873,-1.11893066,-1.331113538,0.403384703,1.709895325,0.540233431,0.436371734,-0.355250002,0.80009309,1.434256846,0.796954526
7.559141183,0.811096955,0.968214107,2.050625111,0.422875382,-0.897438228,1.389497069,-1.684385214,-1.558329773,-0.92179201,-1.707821329,-1.113598586,-1.351000986,0.400801492,1.611088668,0.509455049,0.436059662,-0.387066468,0.732261468,1.387943452,0.76149153
7.556267201,0.811093658,0.967765185,2.04750195,0.423600672,-0.901803615,1.389165119,-1.664832278,-1.541900663,-0.917550547,-1.686925476,-1.100701559,-1.365730335,0.401633489,1.513125169,0.479025704,0.435747951,-0.417977495,0.665031751,1.339065026,0.726550924
7.553462459,0.811015076,0.96746827,2.044313178,0.424320765,-0.906194642,1.388416806,-1.633880921,-1.521996883,-0.913038801,-1.662154256,-1.080426333,-1.37513433,0.405864087,1.417256125,0.449333777,0.435443322,-0.447597919,0.599254856,1.288251641,0.692575646
7.550762286,0.810862365,0.967327233,2.041099813,0.425026455,-0.910553913,1.38726267,-1.591939728,-1.498883253,-0.908309626,-1.633824036,-1.053050009,-1.379121521,0.413423912,1.324692944,0.420738333,0.435157327,-0.475574869,0.535743463,1.236132819,0.659993496
7.54819378,0.810637633,0.967344003,2.037903095,0.425708749,-0.914824626,1.385718313,-1.539554034,-1.472853312,-0.903426248,-1.602300495,-1.01892885,-1.377644459,0.424217034,1.236609113,0.393613583,0.434884379,-0.501545793,0.475300658,1.18337889,0.62920529
7.545784368,0.810343904,0.967518532,2.034763921,0.426358986,-0.918951215,1.38380415,-1.477398757,-1.44424397,-0.898453417,-1.567989047,-0.978504927,-1.370735037,0.438102572,1.154124756,0.368306935,0.434627825,-0.525185816,0.418685296,1.130662145,0.60059432
7.543564133,0.809985068,0.967848785,2.031722395,0.426968958,-0.922880199,1.381545104,-1.406270023,-1.413417867,-0.893447824,-1.531313243,-0.932296172,-1.35849808,0.454893414,1.078278076,0.345124224,0.434397082,-0.546214378,0.366592669,1.07863026,0.574516359
7.541569744,0.809565824,0.968330801,2.028817332,0.427531008,-0.926560785,1.378970323,-1.327078107,-1.380763757,-0.888475749,-1.492737127,-0.88088908,-1.341093938,0.474378018,1.010027347,0.324366961,0.434189153,-0.564361871,0.319676965,1.027946777,0.551291434
7.539828222,0.809091608,0.968958768,2.026085777,0.428038127,-0.929945454,1.376112826,-1.240828779,-1.346689276,-0.883600435,-1.452741756,-0.824930415,-1.318746335,0.496308965,0.950235447,0.306299772,0.434005264,-0.579400893,0.278524185,0.97925068,0.531205327
7.538361904,0.808568524,0.969725057,2.023562568,0.428484035,-0.932990601,1.373009062,-1.148618305,-1.311617683,-0.87887811,-1.411814756,-0.765123878,-1.291746721,0.520404005,0.899653075,0.291139784,0.433853388,-0.591155297,0.243640009,0.93314093,0.514509012
7.53718384,0.80800326,0.970620346,2.021279927,0.428863245,-0.935657039,1.369698501,-1.051616417,-1.275985785,-0.874369747,-1.370465749,-0.702215152,-1.260433682,0.546360938,0.85891519,0.279083351,0.433731273,-0.599473457,0.215462381,0.890201441,0.501408339
7.536304747,0.807403005,0.971633719,2.019267042,0.429171114,-0.937910381,1.366223184,-0.951050615,-1.240231953,-0.870131781,-1.329203988,-0.636988795,-1.225198717,0.573854122,0.82853645,0.270285059,0.43363906,-0.604249036,0.194345943,0.85097353,0.49206565
7.535728815,0.806775364,0.972752806,2.017549742,0.429403892,-0.939721539,1.362627187,-0.848194435,-1.204797735,-0.866211998,-1.288531474,-0.57025795,-1.186487344,0.602532621,0.808897247,0.264846499,0.433582851,-0.605430912,0.180552197,0.815940419,0.486602621
7.535456014,0.806128264,0.973963907,2.016150172,0.429558751,-0.941067014,1.35895613,-0.744348254,-1.170122985,-0.86266183,-1.248954532,-0.502853683,-1.144781685,0.632039014,0.800243639,0.262841943,0.4335597,-0.602999569,0.174260725,0.785551282,0.485088876
7.535492157,0.805469861,0.975252167,2.015086497,0.42963381,-0.94192909,1.355256665,-0.640822462,-1.13663547,-0.85952445,-1.210959047,-0.435615006,-1.100599608,0.662002692,0.80268734,0.264296892,0.433570474,-0.596984626,0.175555812,0.760189645,0.487549006
7.535826964,0.804808446,0.976601732,2.014372703,0.429628151,-0.942296132,1.351575879,-0.538926534,-1.104751078,-0.856835391,-1.175010528,-0.369382801,-1.054495912,0.692043648,0.816196236,0.269186581,0.433618804,-0.587467195,0.184426638,0.740172806,0.493961273
7.536479437,0.804152342,0.977995829,2.014018407,0.429541838,-0.942162825,1.347960671,-0.439934914,-1.074865789,-0.854636501,-1.141568539,-0.304985081,-1.007035735,0.721791227,0.840626661,0.277481932,0.43369041,-0.574540274,0.200783502,0.725782221,0.50424077
7.537436049,0.803509801,0.979417178,2.01402867,0.429375934,-0.941529818,1.344457394,-0.345129799,-1.047364153,-0.852943765,-1.111034014,-0.243238593,-0.958837233,0.750855935,0.87565245,0.289035845,0.433812875,-0.55840704,0.224416662,0.717172501,0.51829266
7.538692173,0.802888912,0.980847959,2.014404006,0.42913245,-0.940404035,1.341111125,-0.255707267,-1.022586622,-0.851785017,-1.0838,-0.184916946,-0.910486027,0.778878192,0.920826672,0.303723421,0.433963291,-0.539243781,0.255044353,0.714480357,0.535932291
7.540231134,0.802297507,0.982270167,2.015140267,0.428814324,-0.938798283,1.33796526,-0.172804627,-1.000851924,-0.851179012,-1.060216352,-0.130758614,-0.862590624,0.805506164,0.975588906,0.321361543,0.434142208,-0.517291826,0.29229397,0.717753376,0.556949711
7.542036256,0.801743063,0.983665672,2.016228706,0.428425389,-0.936731417,1.335060774,-0.097477868,-0.982444111,-0.851126733,-1.040575656,-0.081460924,-0.815769258,0.830387836,1.039245636,0.341709166,0.434361871,-0.49284723,0.335703595,0.726945676,0.581104366
